#CODEVALUEMODEL=CodeValueIcd9|CODESYSTEMID=2.16.840.1.113883.6.103|CODESYSTEMNAME=ICD9DIAG|CODESYSTEMDISPLAYNAME=ICD9DIAG|VERSION=2013|DESCRIPTION=ICD9DIAG|LANGUAGE=it|AUTHORITYNAME=Insiel Mercato|AUTHORITYDESCRIPTION=Insiel Mercato|AUTHORITYCONTACTINFORMATION=Insiel Mercato|VALIDFROM=23/01/2013 10:03
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|TRANSLATION[it]|CODE EQUIVALENT [T]|CODE EQUIVALENT [S]|VALID FROM|VALID TO
DEPRECATED|-|DEPRECATED|DEPRECATED|T|0|DEPRECATED|||12/12/2013 12:15|
DEPRECATED.E93.00|E93.00|PENICILLINA|PENICILLINA|C|0|PENICILLINA|||12/12/2013 12:15|
DEPRECATED.E93.07|E93.07|ANTIBIOTICI ANTINEOPLASTICI|ANTIBIOTICI ANTINEOPLASTICI|C|0|ANTIBIOTICI ANTINEOPLASTICI|||12/12/2013 12:15|
DEPRECATED.E93.31|E93.31|FARMACI ANTINEOPLASTICI|FARMACI ANTINEOPLASTICI|C|0|FARMACI ANTINEOPLASTICI|||12/12/2013 12:15|
DEPRECATED.E93.42|E93.42|SOVRADOSAGGIO DI CUMAROLICI|SOVRADOSAGGIO DI CUMAROLICI|C|0|SOVRADOSAGGIO DI CUMAROLICI|||12/12/2013 12:15|
DEPRECATED.V01|V01|ESPOSIZ MAL TRASMISSIBIL|ESPOSIZ MAL TRASMISSIBIL|C|0|ESPOSIZ MAL TRASMISSIBIL|||12/12/2013 12:15|
V01.0|V01.0|CONTATTO CON O ESPOSIZIONE A COLERA|CONTATTO CON O ESPOSIZIONE A COLERA|C|0|CONTATTO CON O ESPOSIZIONE A COLERA|||12/12/2013 12:15|
V01.1|V01.1|CONTATTO CON O ESPOSIZIONE A TUBERCOLOSI|CONTATTO CON O ESPOSIZIONE A TUBERCOLOSI|C|0|CONTATTO CON O ESPOSIZIONE A TUBERCOLOSI|||12/12/2013 12:15|
V01.2|V01.2|CONTATTO CON O ESPOSIZIONE A POLIOMIELITE|CONTATTO CON O ESPOSIZIONE A POLIOMIELITE|C|0|CONTATTO CON O ESPOSIZIONE A POLIOMIELITE|||12/12/2013 12:15|
V01.3|V01.3|CONTATTO CON O ESPOSIZIONE A VAIOLO|CONTATTO CON O ESPOSIZIONE A VAIOLO|C|0|CONTATTO CON O ESPOSIZIONE A VAIOLO|||12/12/2013 12:15|
V01.4|V01.4|CONTATTO CON O ESPOSIZIONE A ROSOLIA|CONTATTO CON O ESPOSIZIONE A ROSOLIA|C|0|CONTATTO CON O ESPOSIZIONE A ROSOLIA|||12/12/2013 12:15|
