#CODEVALUEMODEL=CodeValuePhi|CODESYSTEMID=phidic|CODESYSTEMNAME=PHIDIC|CODESYSTEMDISPLAYNAME=PHI DICTIONARY|VERSION=0|DESCRIPTION=Main CodeSystem|LANGUAGE=it|AUTHORITYNAME=Insiel Mercato SpA|AUTHORITYDESCRIPTION=Insiel Mercato SpA|AUTHORITYCONTACTINFORMATION=info@insielmercato.it|||||||||
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|KEYWORDS|EXTENSION[Abbreviation]|EXTENSION[Enable annotation]|EXTENSION[Score]|TRANSLATION[de]|TRANSLATION[en]|TRANSLATION[it]|RELATION[CodeValueCity]|RELATION[CodeValueIcd9]|RELATION[CodeValuePhi]|VALID FROM|VALID TO
arpav.imp.stato_V0|StatoImpianto|StatoImpianto||S|0|1|||||||||||14/10/2019 21:36|
arpav.imp.stato.00_V0|00|00||C|0|1|||||||00. REGOLARMENTE ATTIVO||||14/10/2019 21:37|
arpav.imp.stato.01_V0|01|01||C|0|1|||||||01. INATTIVO||||14/10/2019 21:37|
arpav.imp.stato.02_V0|02|02||C|0|1|||||||02. ESCLUSO DALLA SORVEGLIANZA||||14/10/2019 21:37|
arpav.imp.stato.03_V0|03|03||C|0|1|||||||03. DEMOLITO||||14/10/2019 21:37|
arpav.imp.stato.04_V0|04|04||C|0|1|||||||04. UTENTE FALLITO||||14/10/2019 21:37|
arpav.imp.stato.05_V0|05|05||C|0|1|||||||05. UTENTE IRREPERIBILE||||14/10/2019 21:37|
arpav.imp.stato.06_V0|06|06||C|0|1|||||||06. IN CUSTODIA GIUDIZIARIA||||14/10/2019 21:37|
arpav.imp.stato.07_V0|07|07||C|0|1|||||||07. DA RIATTIVARE||||14/10/2019 21:37|
arpav.imp.stato.08_V0|08|08||C|0|1|||||||08. PASSATO ALL'ISPESL||||14/10/2019 21:37|
arpav.imp.stato.09_V0|09|09||C|0|1|||||||09. ATT. NON SOGG. DPR 547/55||||14/10/2019 21:37|
arpav.imp.stato.10_V0|10|10||C|0|1|||||||10. PASSATO AD ALTRA ARPA||||14/10/2019 21:37|
arpav.imp.stato.11_V0|11|11||C|0|1|||||||11. ATTIVITA' SOSPESA||||14/10/2019 21:37|
arpav.imp.stato.12_V0|12|12||C|0|1|||||||12. CESSATA ATTIVITA'||||14/10/2019 21:37|
