#CODEVALUEMODEL=CodeValuePhi|CODESYSTEMID=phidic|CODESYSTEMNAME=PHIDIC|CODESYSTEMDISPLAYNAME=PHI DICTIONARY|VERSION=0|DESCRIPTION=Main CodeSystem|LANGUAGE=it|AUTHORITYNAME=Insiel Mercato SpA|AUTHORITYDESCRIPTION=Insiel Mercato SpA|AUTHORITYCONTACTINFORMATION=info@insielmercato.it|||||||||
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|KEYWORDS|EXTENSION[Abbreviation]|EXTENSION[Enable annotation]|EXTENSION[Score]|TRANSLATION[de]|TRANSLATION[en]|TRANSLATION[it]|RELATION[CodeValueCity]|RELATION[CodeValueIcd9]|RELATION[CodeValuePhi]|VALID FROM|VALID TO
spisal.mdl.patoricorso_V0|PatologieRicorso|PatologieRicorso||S|0|1|||||||||||19/09/2023 13:21|
spisal.mdl.patoricorso.altrepat_V0|altrePat|AltrePatologie||C|0|1|||||||Altre Patologie||||12/12/2023 13:00|
spisal.mdl.patoricorso.patcardio_V0|patCardio|PatologieCardioVascolari||C|0|1|||||||Patologie cardio-vascolari||||12/12/2023 13:00|
spisal.mdl.patoricorso.patderma_V0|patDerma|PatologieDermatologiche||C|0|1|||||||Patologie dermatologiche||||12/12/2023 13:00|
spisal.mdl.patoricorso.patendo_V0|patEndo|PatologieEndocrinologiche||C|0|1|||||||Patologie endocrinologiche||||12/12/2023 13:00|
spisal.mdl.patoricorso.patneo_V0|patNeo|PatologieNeoplastiche||C|0|1|||||||Patologie neoplastiche||||12/12/2023 13:00|
spisal.mdl.patoricorso.patneuro_V0|patNeuro|PatologieNeurologiche||C|0|1|||||||Patologie neurologiche||||12/12/2023 13:00|
spisal.mdl.patoricorso.patosteo_V0|patOsteo|PatologieOsteoArticolari||C|0|1|||||||Patologie osteo-articolari||||12/12/2023 13:00|
spisal.mdl.patoricorso.patpsich_V0|patPsich|PatologiePsichiatriche||C|0|1|||||||Patologie psichiatriche||||12/12/2023 13:00|
spisal.mdl.patoricorso.patresp_V0|patResp|PatologieRespiratorie||C|0|1|||||||Patologie respiratorie||||12/12/2023 13:00|
