#CODEVALUEMODEL=CodeValuePhi|CODESYSTEMID=phidic|CODESYSTEMNAME=PHIDIC|CODESYSTEMDISPLAYNAME=PHI DICTIONARY|VERSION=0|DESCRIPTION=Main CodeSystem|LANGUAGE=it|AUTHORITYNAME=Insiel Mercato SpA|AUTHORITYDESCRIPTION=Insiel Mercato SpA|AUTHORITYCONTACTINFORMATION=info@insielmercato.it|||||||||
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|KEYWORDS|EXTENSION[Abbreviation]|EXTENSION[Enable annotation]|EXTENSION[Score]|TRANSLATION[de]|TRANSLATION[en]|TRANSLATION[it]|RELATION[CodeValueCity]|RELATION[CodeValueIcd9]|RELATION[CodeValuePhi]|VALID FROM|VALID TO
spisal.pratiche.activities.measure.anidridecarbonica|anidrideCarbonica|Anidride Carbonica|Anidride Carbonica|C|0|1|||||||Anidride Carbonica||||20/04/2016 15:30|12/12/2023 12:59
spisal.pratiche.activities.measure.gasesplosivi|gasEsplosivi|Gas esplosivi|Gas esplosivi|C|0|1|||||||Gas esplosivi||||20/04/2016 15:30|12/12/2023 12:59
spisal.pratiche.activities.measure.ossidodicarbonio|ossidoDiCarbonio|Ossido di carbonio|Ossido di carbonio|C|0|1|||||||Ossido di carbonio||||20/04/2016 15:30|12/12/2023 12:59
spisal.pratiche.activities.measure.ossigeno|ossigeno|Ossigeno|Ossigeno|C|0|1|||||||Ossigeno||||20/04/2016 15:30|12/12/2023 12:59
spisal.pratiche.activities.measure.radon|radon|Radon|Radon|C|0|1|||||||Radon||||20/04/2016 15:30|12/12/2023 12:59
spisal.pratiche.activities.sampling.anidridecarbonica|anidrideCarbonica|Anidride Carbonica|Anidride Carbonica|C|0|1|||||||Anidride Carbonica||||12/12/2023 13:00|
spisal.pratiche.activities.sampling.gasesplosivi|gasEsplosivi|Gas esplosivi|Gas esplosivi|C|0|1|||||||Gas esplosivi||||12/12/2023 13:00|
spisal.pratiche.activities.sampling.ossidodicarbonio|ossidoDiCarbonio|Ossido di carbonio|Ossido di carbonio|C|0|1|||||||Ossido di carbonio||||12/12/2023 13:00|
spisal.pratiche.activities.sampling.ossigeno|ossigeno|Ossigeno|Ossigeno|C|0|1|||||||Ossigeno||||12/12/2023 13:00|
spisal.pratiche.activities.sampling.radon|radon|Radon|Radon|C|0|1|||||||Radon||||12/12/2023 13:00|
