#CODEVALUEMODEL=CodeValueCity|CODESYSTEMID=comuniistat|CODESYSTEMNAME=COMUNIISTAT|CODESYSTEMDISPLAYNAME=COMUNIISTAT|VERSION=20111001|DESCRIPTION=Dizionario Codici ISTAT Comuni Italiani|LANGUAGE=it|AUTHORITYNAME=ISTAT|AUTHORITYDESCRIPTION=Istituto nazionale di statistica|AUTHORITYCONTACTINFORMATION=http://www.istat.it/|VALIDFROM=01/10/2011 00:00||||||||||
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|KEYWORDS|EXTENSION[Iso]|EXTENSION[Istat]|EXTENSION[LandRegistry]|EXTENSION[Province]|EXTENSION[Ulss]|EXTENSION[Zip]|TRANSLATION[de]|TRANSLATION[en]|TRANSLATION[it]|RELATION[CodeValueCity]|RELATION[CodeValuePhi]|VALID FROM|VALID TO
05.024.123_V20111001|024123|ValLiona|Val Liona|C|0|1|||||VI|050508|36040|||Val Liona|||2017-02-17 00:00:00.0|
05.024.124_V20111001|024124|BarbaranoMossano|Barbarano Mossano|C|0|1|||||VI|050508|36021|||Barbarano Mossano|||2018-02-17 00:00:00.0|
05.024.125_V20111001|024125|Valbrenta|Valbrenta|C|0|1|||||VI|050507|36020|||Valbrenta|||2019-01-30 00:00:00.0|
05.024.126_V20111001|024126|Colceresa|Colceresa|C|0|1|||||VI|050507|32064|||Colceresa|||2019-02-20 00:00:00.0|
05.024.127_V20111001|024127|LusianaConco|Lusiana Conco|C|0|1|||||VI|050507|36046|||Lusiana Conco|||2019-02-20 00:00:00.0|
05.025.070_V20111001|025070|QueroVas|Quero Vas|C|0|1|||||BL|050501|32038|||Quero Vas|||2013-12-28 00:00:00.0|
05.025.071_V20111001|025071|Longarone|Longarone|C|0|1|||||BL|050501|32013|||Longarone|||2014-02-22 00:00:00.0|
05.025.072_V20111001|025072|Alpago|Alpago|C|0|1|||||BL|050501|32010|||Alpago|||2016-02-23 00:00:00.0|
05.025.073_V20111001|025073|ValDiZoldo|Val Di Zoldo|C|0|1|||||BL|050501|32012|||Val Di Zoldo|||2016-02-23 00:00:00.0|
05.025.074_V20111001|025074|BorgoValbelluna|Borgo Valbelluna|C|0|1|||||BL|050501|32026|||Borgo Valbelluna|||2019-01-30 00:00:00.0|
05.026.096_V20111001|026096|PieveDelGrappa|Pieve Del Grappa|C|0|1|||||TV|050502|31017|||Pieve Del Grappa|||2019-01-30 00:00:00.0|
05.028.107_V20111001|028107|BorgoVeneto|Borgo Veneto|C|0|1|||||PD|050506|35040|||Borgo Veneto|||2018-02-17 00:00:00.0|
