#CODEVALUEMODEL=CodeValueCity|CODESYSTEMID=comuniistat|CODESYSTEMNAME=COMUNIISTAT|CODESYSTEMDISPLAYNAME=COMUNIISTAT|VERSION=20111001|DESCRIPTION=Dizionario Codici ISTAT Comuni Italiani|LANGUAGE=it|AUTHORITYNAME=ISTAT|AUTHORITYDESCRIPTION=Istituto nazionale di statistica|AUTHORITYCONTACTINFORMATION=http://www.istat.it/|VALIDFROM=01/10/2011 00:00||||||||||
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|KEYWORDS|EXTENSION[Iso]|EXTENSION[Istat]|EXTENSION[LandRegistry]|EXTENSION[Province]|EXTENSION[Ulss]|EXTENSION[Zip]|TRANSLATION[de]|TRANSLATION[en]|TRANSLATION[it]|RELATION[CodeValueCity]|RELATION[CodeValuePhi]|VALID FROM|VALID TO
05.023.801_V20111001|023801|Avesa|Avesa|C|0|2|||||VR|||||Avesa|||1971-01-01 00:00:00.0|31/12/2021 00:00
05.023.802_V20111001|023802|BellunoVeronese|Belluno Veronese|C|0|2|||||VR|||||Belluno Veronese|||1971-01-01 00:00:00.0|31/12/2021 00:00
05.023.804_V20111001|023804|Brentino|Brentino|C|0|2|||||VR|||||Brentino|||1971-01-01 00:00:00.0|31/12/2021 00:00
05.023.805_V20111001|023805|Breonio|Breonio|C|0|2|||||VR|||||Breonio|||1971-01-01 00:00:00.0|31/12/2021 00:00
05.023.806_V20111001|023806|CadiDavid|Ca' di David|C|0|2|||||VR|||||Ca' di David|||1971-01-01 00:00:00.0|31/12/2021 00:00
05.023.807_V20111001|023807|CastioneVeronese|Castione Veronese|C|0|2|||||VR|||||Castione Veronese|||1971-01-01 00:00:00.0|31/12/2021 00:00
05.023.808_V20111001|023808|Correzzo|Correzzo|C|0|2|||||VR|||||Correzzo|||1971-01-01 00:00:00.0|31/12/2021 00:00
05.023.809_V20111001|023809|Marcellise|Marcellise|C|0|2|||||VR|||||Marcellise|||1971-01-01 00:00:00.0|31/12/2021 00:00
05.023.810_V20111001|023810|Mizzole|Mizzole|C|0|2|||||VR|||||Mizzole|||1971-01-01 00:00:00.0|31/12/2021 00:00
05.023.811_V20111001|023811|MontorioVeronese|Montorio Veronese|C|0|2|||||VR|||||Montorio Veronese|||1971-01-01 00:00:00.0|31/12/2021 00:00
05.023.812_V20111001|023812|Negarine|Negarine|C|0|2|||||VR|||||Negarine|||1971-01-01 00:00:00.0|31/12/2021 00:00
05.023.813_V20111001|023813|ParonadiValpolicella|Parona di Valpolicella|C|0|2|||||VR|||||Parona di Valpolicella|||1971-01-01 00:00:00.0|31/12/2021 00:00
05.023.814_V20111001|023814|Prun|Prun|C|0|2|||||VR|||||Prun|||1971-01-01 00:00:00.0|31/12/2021 00:00
05.023.816_V20111001|023816|QuinzanoVeronese|Quinzano Veronese|C|0|2|||||VR|||||Quinzano Veronese|||1971-01-01 00:00:00.0|31/12/2021 00:00
05.023.817_V20111001|023817|SanMassimoallAdige|San Massimo all'Adige|C|0|2|||||VR|||||San Massimo all'Adige|||1971-01-01 00:00:00.0|31/12/2021 00:00
05.023.818_V20111001|023818|SanMicheleExtra|San Michele Extra|C|0|2|||||VR|||||San Michele Extra|||1971-01-01 00:00:00.0|31/12/2021 00:00
05.023.819_V20111001|023819|SantaMariainStelle|Santa Maria in Stelle|C|0|2|||||VR|||||Santa Maria in Stelle|||1971-01-01 00:00:00.0|31/12/2021 00:00
05.024.804_V20111001|024804|MagreVicentino|Magrè Vicentino|C|0|2|||||VI|||||Magr? Vicentino|||1971-01-01 00:00:00.0|31/12/2021 00:00
