#CODEVALUEMODEL=CodeValuePhi|CODESYSTEMID=phidic|CODESYSTEMNAME=PHIDIC|CODESYSTEMDISPLAYNAME=PHI DICTIONARY|VERSION=0|DESCRIPTION=Main CodeSystem|LANGUAGE=it|AUTHORITYNAME=Insiel Mercato SpA|AUTHORITYDESCRIPTION=Insiel Mercato SpA|AUTHORITYCONTACTINFORMATION=info@insielmercato.it
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|KEYWORDS|EXTENSION[Abbreviation]|EXTENSION[Enable annotation]|EXTENSION[Score]|TRANSLATION[de]|TRANSLATION[en]|TRANSLATION[it]|RELATION[CodeValueCity]|RELATION[CodeValueIcd9]|RELATION[CodeValuePhi]|VALID FROM|VALID TO
arpav.imp.ulettera_V0|UtenteLettera|UtenteLettera||S|0|1|||||||Utente lettera||||06/09/2019 15:52|
arpav.imp.ulettera.01_V0|01|Condominio||C|1|1|||||||Condominio||||06/09/2019 15:59|
arpav.imp.ulettera.02_V0|02|Ente del SSN||C|0|1|||||||Ente del SSN||||06/09/2019 16:16|
arpav.imp.ulettera.03_V0|03|Enti pubblici della regione||C|2|1|||||||Enti pubblici della regione||||06/09/2019 16:18|
arpav.imp.ulettera.04_V0|04|Enti pubblici fuori regione||C|3|1|||||||Enti pubblici fuori regione||||06/09/2019 16:20|
arpav.imp.ulettera.05_V0|05|Privati||C|4|1|||||||Privati||||06/09/2019 16:20|
arpav.imp.ulettera.06_V0|06|Altri||C|5|1|||||||Altri||||06/09/2019 16:21|
arpav.imp.ulettera.51_V0|51|ISPESL||C|6|1|||||||ISPESL||||06/09/2019 16:23|
arpav.imp.ulettera.52_V0|52|Rivenditore||C|7|1|||||||Rivenditore||||06/09/2019 16:27|
arpav.imp.ulettera.53_V0|53|Curatore||C|8|1|||||||Curatore||||06/09/2019 16:27|
arpav.imp.ulettera.54_V0|54|Utente||C|9|1|||||||Utente||||06/09/2019 16:28|
arpav.imp.ulettera.55_V0|55|L. 95/16||C|10|1|||||||L. 95/16||||06/09/2019 16:28|
