ID|CODE|TRANSLATION[it]
phidic.arpav.imp.ascensori.manutentori.01_V0|01|BASSO MIRCO
phidic.arpav.imp.ascensori.manutentori.02_V0|02|BELLETTI ASCENSORI
phidic.arpav.imp.ascensori.manutentori.03_V0|03|CALCATERRA
phidic.arpav.imp.ascensori.manutentori.04_V0|04|ECOM
phidic.arpav.imp.ascensori.manutentori.05_V0|05|MG ELEVATORI SNC
phidic.arpav.imp.ascensori.manutentori.06_V0|06|KONE
phidic.arpav.imp.ascensori.manutentori.07_V0|07|EUROLIFT
phidic.arpav.imp.ascensori.manutentori.08_V0|08|DUE BI SNC
phidic.arpav.imp.ascensori.manutentori.09_V0|09|RIMA ASCENSORI
phidic.arpav.imp.ascensori.manutentori.10_V0|10|PARABONI
phidic.arpav.imp.ascensori.manutentori.11_V0|11|FURINI
phidic.arpav.imp.ascensori.manutentori.12_V0|12|HYDROLIFT
phidic.arpav.imp.ascensori.manutentori.13_V0|13|CSA NORD EST (EX MAM)
phidic.arpav.imp.ascensori.manutentori.14_V0|14|MARIME SNC
phidic.arpav.imp.ascensori.manutentori.15_V0|15|PASOTTO & C
phidic.arpav.imp.ascensori.manutentori.16_V0|16|VEA
phidic.arpav.imp.ascensori.manutentori.17_V0|17|SCARPA
phidic.arpav.imp.ascensori.manutentori.18_V0|18|VEGA SRL
phidic.arpav.imp.ascensori.manutentori.19_V0|19|SCHINDLER
phidic.arpav.imp.ascensori.manutentori.20_V0|20|OTIS
phidic.arpav.imp.ascensori.manutentori.21_V0|21|VENETA ASCENSORI
phidic.arpav.imp.ascensori.manutentori.22_V0|22|VERGATI
phidic.arpav.imp.ascensori.manutentori.23_V0|23|CSA ELEVATORI NORD EST
phidic.arpav.imp.ascensori.manutentori.24_V0|24|ZANON DANILO
phidic.arpav.imp.ascensori.manutentori.25_V0|25|RIAM
phidic.arpav.imp.ascensori.manutentori.26_V0|26|MINZONI
phidic.arpav.imp.ascensori.manutentori.27_V0|27|MAIC
phidic.arpav.imp.ascensori.manutentori.28_V0|28|CIMA IMPIANTI
phidic.arpav.imp.ascensori.manutentori.29_V0|29|MARIVE
phidic.arpav.imp.ascensori.manutentori.30_V0|30|THYSSEN
phidic.arpav.imp.ascensori.manutentori.31_V0|31|SHUTTLE ASCENSORI
phidic.arpav.imp.ascensori.manutentori.32_V0|32|EL PO
phidic.arpav.imp.ascensori.manutentori.33_V0|33|GBL SRL
phidic.arpav.imp.ascensori.manutentori.34_V0|34|COAM
phidic.arpav.imp.ascensori.manutentori.35_V0|35|SELCO SNC
phidic.arpav.imp.ascensori.manutentori.36_V0|36|WM ELEVATORI SRL
phidic.arpav.imp.ascensori.manutentori.37_V0|37|MANUTENTORE IGNOTO
phidic.arpav.imp.ascensori.manutentori.38_V0|38|DETTO RENATO
phidic.arpav.imp.ascensori.manutentori.39_V0|39|ESA ELEVATORI ORA WM 48
phidic.arpav.imp.ascensori.manutentori.40_V0|40|WM ELEVATORI SNC
phidic.arpav.imp.ascensori.manutentori.41_V0|41|CARRELLIFICIO VICENTINO SRL
phidic.arpav.imp.ascensori.manutentori.42_V0|42|ALAIMO - DOLO
phidic.arpav.imp.ascensori.manutentori.43_V0|43|BOCCATO FLAVIO - ROSOLINA RO
phidic.arpav.imp.ascensori.manutentori.44_V0|44|COMAD SNC
phidic.arpav.imp.ascensori.manutentori.45_V0|45|NEULIFT SERVICE TRIVEN SRL
phidic.arpav.imp.ascensori.manutentori.46_V0|46|SIMA IMPIANTI SAS
phidic.arpav.imp.ascensori.manutentori.47_V0|47|ZANOLI UMBERTO
phidic.arpav.imp.ascensori.manutentori.48_V0|48|IMAC DI CARRARO G.B.
phidic.arpav.imp.ascensori.manutentori.49_V0|49|CARRARO ASCENSORI SNC
phidic.arpav.imp.ascensori.manutentori.50_V0|50|LENZI ASCENSORI
phidic.arpav.imp.ascensori.manutentori.51_V0|51|IMAR SNC
phidic.arpav.imp.ascensori.manutentori.52_V0|52|PASOTTO
phidic.arpav.imp.ascensori.manutentori.53_V0|53|CSA NORD EST (EX MONTI)
phidic.arpav.imp.ascensori.manutentori.54_V0|54|PIZZEGHELLA E STEVAN
phidic.arpav.imp.ascensori.manutentori.55_V0|55|ERRECI ASCENSORI
phidic.arpav.imp.ascensori.manutentori.56_V0|56|IMAM SRL
phidic.arpav.imp.ascensori.manutentori.57_V0|57|CSA NORD EST (EX CSA BOLOGNA)
phidic.arpav.imp.ascensori.manutentori.58_V0|58|ADM
phidic.arpav.imp.ascensori.manutentori.59_V0|59|FP ASCENSORI SRL
phidic.arpav.imp.ascensori.manutentori.60_V0|60|ABM ASCENSORI
phidic.arpav.imp.ascensori.manutentori.61_V0|61|CSA NORD EST (EX VIMA)
phidic.arpav.imp.ascensori.manutentori.62_V0|62|MONTI ASCENSORI
phidic.arpav.imp.ascensori.manutentori.63_V0|63|FAVA ASCENSORI
phidic.arpav.imp.ascensori.manutentori.64_V0|64|ASB ASCENSORI SRL
phidic.arpav.imp.ascensori.manutentori.65_V0|65|COFELY - KONE
phidic.arpav.imp.ascensori.manutentori.66_V0|66|NORD ELEVATORS
phidic.arpav.imp.ascensori.manutentori.67_V0|67|ANTONIANA ASCENSORI SRL
phidic.arpav.imp.ascensori.manutentori.68_V0|68|MAS MONTI APPALTI E SERVIZI SR
phidic.arpav.imp.ascensori.manutentori.69_V0|69|ESA SPA EX MAV MONTI ASCENSORI
phidic.arpav.imp.ascensori.manutentori.70_V0|70|CEAM ELEVATORI SRL
phidic.arpav.imp.ascensori.manutentori.71_V0|71|ESA ELEVATORI SPA
phidic.arpav.imp.ascensori.manutentori.72_V0|72|DUE ELLE SNC
phidic.arpav.imp.ascensori.manutentori.73_V0|73|UNILIFT
phidic.arpav.imp.ascensori.manutentori.74_V0|74|ARCA
phidic.arpav.imp.ascensori.manutentori.75_V0|75|SCAM SRL
phidic.arpav.imp.ascensori.manutentori.76_V0|76|VIMEC
