#CODEVALUEMODEL=CodeValuePhi|CODESYSTEMID=phidic|CODESYSTEMNAME=PHIDIC|CODESYSTEMDISPLAYNAME=PHI DICTIONARY|VERSION=0|DESCRIPTION=Main CodeSystem|LANGUAGE=it|AUTHORITYNAME=Insiel Mercato SpA|AUTHORITYDESCRIPTION=Insiel Mercato SpA|AUTHORITYCONTACTINFORMATION=info@insielmercato.it
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|KEYWORDS|EXTENSION[Abbreviation]|EXTENSION[Enable annotation]|EXTENSION[IE Repository]|EXTENSION[Score]|TRANSLATION[de]|TRANSLATION[en]|TRANSLATION[it]|RELATION[CodeValueCity]|RELATION[CodeValueIcd9]|RELATION[CodeValuePhi]|VALID FROM|VALID TO
spisal.cantieri_V0|Cantieri|Cantieri||S|0|1||||||||Cantieri||||20/05/2016 16:22|
spisal.cantieri.destinatarinotifica_V0|DestinatariNotifica|DestinatariNotifica||S|0|1||||||||DestinatariNotifica||||09/11/2021 10:22|
spisal.cantieri.destinatarinotifica.01_V0|01|dtl||C|0|1||||||||DTL||||09/11/2021 10:23|
spisal.cantieri.destinatarinotifica.02_V0|02|prefetto||C|0|1||||||||Prefetto||||09/11/2021 10:24|
spisal.cantieri.natura_V0|natura|NaturaOpera||S|0|1||||||||Natura Opera||||11/10/2016 14:37|
spisal.cantieri.natura.01_V0|01|01|Costruzione con o senza demolizione di civile abitazione|C|0|1||||||||COSTRUZIONE DI CIVILE ABITAZIONE||||11/10/2016 14:38|
spisal.cantieri.natura.02_V0|02|02|Costruzione di capannone industriale,artigianale, commericale uso ufficio|C|0|1||||||||COSTRUZIONE DI CAPANNONE||||11/10/2016 14:38|
spisal.cantieri.natura.03_V0|03|03|Manutenzione esterna di pareti,facciate,balconi,tetti|C|0|1||||||||MANUTENZIONE ESTERNA PARETI,FACCIATE,BALCONI||||11/10/2016 14:38|
spisal.cantieri.natura.04_V0|04|04|Manutenzione interna di pavimenti,pareti,tramezzi,impianti|C|0|1||||||||MANUTENZIONE INTERNA||||11/10/2016 14:38|
spisal.cantieri.natura.05_V0|05|05|Manutenzione esterna di pavimentazioni,impianti fognari,marciapiedi,lastrici,aree verdi|C|0|1||||||||MANUTENZIONE ESTERNA PAVIM,FOGN,LASTRICI,VERDE||||11/10/2016 14:38|
