#CODEVALUEMODEL=CodeValueParameter|CODESYSTEMID=p|CODESYSTEMNAME=ApplicationParameters|CODESYSTEMDISPLAYNAME=ApplicationParameters|VERSION=0|DESCRIPTION=Application Parameters|LANGUAGE=it|AUTHORITYNAME=Insiel Mercato|AUTHORITYDESCRIPTION=Insiel Mercato SpA|AUTHORITYCONTACTINFORMATION=info@insielmercato.it|VALIDFROM=08/03/2016 11:51
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|TRANSLATION[de]|TRANSLATION[en]|TRANSLATION[it]|VALID FROM|VALID TO
fascicolazione.editFascicolo.tipoFascicolo.distr|-|fascicolazione.editFascicolo.tipoFascicolo.distr|distr|A|0|1||||29/10/2018 00:00|
fascicolazione.editFascicolo.tipoFascicolo.distr.Admin|Admin|Admin||C|0|1||||29/10/2018 00:00|
fascicolazione.editFascicolo.tipoFascicolo.gen|-|fascicolazione.editFascicolo.tipoFascicolo.gen|gen|A|0|1||||29/10/2018 00:00|
fascicolazione.editFascicolo.tipoFascicolo.gen.Admin|Admin|Admin||C|0|1||||29/10/2018 00:00|
fascicolazione.editFascicolo.tipoFascicolo.gen.Operatore|Operatore|Operatore||C|0|1||||29/10/2018 00:00|
fascicolazione.editFascicolo.tipoFascicolo.reg|-|fascicolazione.editFascicolo.tipoFascicolo.reg|reg|A|0|1||||29/10/2018 00:00|
fascicolazione.editFascicolo.tipoFascicolo.reg.Admin|Admin|Admin||C|0|1||||29/10/2018 00:00|
fascicolazione.editFascicolo.tipoFascicolo.reg.Operatore|Operatore|Operatore||C|0|1||||29/10/2018 00:00|
fascicolazione.editFascicolo.tipoFascicolo.ulss|-|fascicolazione.editFascicolo.tipoFascicolo.ulss|ulss|A|0|1||||29/10/2018 00:00|
fascicolazione.editFascicolo.tipoFascicolo.ulss.Admin|Admin|Admin||C|0|1||||29/10/2018 00:00|
