ID|CODE|TRANSLATION[it]
arpav.imp.ascensori.amministratori.01_V0|01|ZILIO AGNOLON
arpav.imp.ascensori.amministratori.02_V0|02|AM BE STA
arpav.imp.ascensori.amministratori.03_V0|03|MERLIN GRAZIA
arpav.imp.ascensori.amministratori.04_V0|04|BELLAVERE ALESSANDRO
arpav.imp.ascensori.amministratori.05_V0|05|BELLAVERE LINO
arpav.imp.ascensori.amministratori.06_V0|06|PIOVAN ALBERTO
arpav.imp.ascensori.amministratori.07_V0|07|STUDIO PARISI
arpav.imp.ascensori.amministratori.08_V0|08|SOLUZIONI IMMOBILIARI SNC
arpav.imp.ascensori.amministratori.09_V0|09|VIANELLO VITO
arpav.imp.ascensori.amministratori.10_V0|10|DE ROGATIS
arpav.imp.ascensori.amministratori.11_V0|11|BERTUCCIO R
arpav.imp.ascensori.amministratori.12_V0|12|CACCO ITALO
arpav.imp.ascensori.amministratori.13_V0|13|SAPUPPO FERDINANDO
arpav.imp.ascensori.amministratori.14_V0|14|VASTA SAPUPPO ARCANGELA
arpav.imp.ascensori.amministratori.15_V0|15|COSTA GIUSEPPE
arpav.imp.ascensori.amministratori.16_V0|16|SAROLLO RINO
arpav.imp.ascensori.amministratori.17_V0|17|FABRIS SAS
arpav.imp.ascensori.amministratori.18_V0|18|LA MANTIA SAVERIO
arpav.imp.ascensori.amministratori.19_V0|19|DALLA BONA GERMANO
arpav.imp.ascensori.amministratori.20_V0|20|ERENO GIOVANNI
arpav.imp.ascensori.amministratori.21_V0|21|CALLEGARIN FRANCO
arpav.imp.ascensori.amministratori.22_V0|22|SO GE CON SRL
arpav.imp.ascensori.amministratori.23_V0|23|DALLA COSTA GIAMPAOLO
arpav.imp.ascensori.amministratori.24_V0|24|SGARBOSSA EGIDIO
arpav.imp.ascensori.amministratori.25_V0|25|SCARANTE ALESSIO
arpav.imp.ascensori.amministratori.26_V0|26|STUDIO BONIFAZI
arpav.imp.ascensori.amministratori.27_V0|27|ORLANDO P
arpav.imp.ascensori.amministratori.28_V0|28|DE NARD MARCO
arpav.imp.ascensori.amministratori.29_V0|29|PETRANZAN B
arpav.imp.ascensori.amministratori.30_V0|30|PIRAN DAVIDE
arpav.imp.ascensori.amministratori.31_V0|31|VENETA IMMOBILIARE SPA
arpav.imp.ascensori.amministratori.32_V0|32|I GE I SPA
arpav.imp.ascensori.amministratori.33_V0|33|IMMOBILIARE IRMA
arpav.imp.ascensori.amministratori.34_V0|34|MAGGETTO VITO
arpav.imp.ascensori.amministratori.35_V0|35|PETTENELLO OSCAR
arpav.imp.ascensori.amministratori.36_V0|36|PRUNOTTO ENRICO
arpav.imp.ascensori.amministratori.37_V0|37|RUBINI
arpav.imp.ascensori.amministratori.38_V0|38|GALLINARI FRANCO
arpav.imp.ascensori.amministratori.39_V0|39|AMM IMM TLA DI LOREGGIA T
arpav.imp.ascensori.amministratori.40_V0|40|TORRESAN ALBERTO
arpav.imp.ascensori.amministratori.41_V0|41|AMM BETA DI TESTA SANDRO
arpav.imp.ascensori.amministratori.42_V0|42|AMM STUDIO ASS GARBO
arpav.imp.ascensori.amministratori.43_V0|43|MINGARDO MARILISA
arpav.imp.ascensori.amministratori.44_V0|44|NULLI MAURIZIO
arpav.imp.ascensori.amministratori.45_V0|45|SCATENA UMBERTO
arpav.imp.ascensori.amministratori.46_V0|46|CAMERAN PIETRO
arpav.imp.ascensori.amministratori.47_V0|47|CORREZZOLA P
arpav.imp.ascensori.amministratori.48_V0|48|AMM COND PUJA
arpav.imp.ascensori.amministratori.49_V0|49|L'AMMINISTRAZIONE SRL
arpav.imp.ascensori.amministratori.50_V0|50|FURIAN REMIGIO
arpav.imp.ascensori.amministratori.51_V0|51|MILITELLO GIANCARLO
arpav.imp.ascensori.amministratori.52_V0|52|BAGGIO PAOLA
arpav.imp.ascensori.amministratori.53_V0|53|FORALOSSO SERGIO
arpav.imp.ascensori.amministratori.54_V0|54|DI FRANCESCO GUERINO
arpav.imp.ascensori.amministratori.55_V0|55|STUDIO DE ZUANE SNC
arpav.imp.ascensori.amministratori.56_V0|56|MICHELETTO E CAMPORESE
arpav.imp.ascensori.amministratori.57_V0|57|BEAN FABIO
arpav.imp.ascensori.amministratori.58_V0|58|SOC IMM CONTARINE SPA
arpav.imp.ascensori.amministratori.59_V0|59|CAVALLANTE ANTONIO
arpav.imp.ascensori.amministratori.60_V0|60|ELLEZETA
arpav.imp.ascensori.amministratori.61_V0|61|AMMINISTRATORE IN CONDOMINO
arpav.imp.ascensori.amministratori.62_V0|62|TOSATO ALBERTO
arpav.imp.ascensori.amministratori.63_V0|63|TOSATO ORLANDO
arpav.imp.ascensori.amministratori.64_V0|64|TOSATO STEFANO
arpav.imp.ascensori.amministratori.65_V0|65|PICCOLO LUCIANO
arpav.imp.ascensori.amministratori.66_V0|66|PRATICELLI ALBERTO
arpav.imp.ascensori.amministratori.67_V0|67|VINCI IVANO
arpav.imp.ascensori.amministratori.68_V0|68|AG IMM PORTAVECCHIA
arpav.imp.ascensori.amministratori.69_V0|69|ZANON ANTONIO
arpav.imp.ascensori.amministratori.RENATAGIRARDI|70|RENATA GIRARDI
