#CODEVALUEMODEL=CodeValuePhi|CODESYSTEMID=phidic|CODESYSTEMNAME=PHIDIC|CODESYSTEMDISPLAYNAME=PHI DICTIONARY|VERSION=0|DESCRIPTION=Main CodeSystem|LANGUAGE=it|AUTHORITYNAME=Insiel Mercato SpA|AUTHORITYDESCRIPTION=Insiel Mercato SpA|AUTHORITYCONTACTINFORMATION=info@insielmercato.it
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|KEYWORDS|EXTENSION[Abbreviation]|EXTENSION[Enable annotation]|EXTENSION[Score]|TRANSLATION[de]|TRANSLATION[en]|TRANSLATION[it]|RELATION[CodeValueCity]|RELATION[CodeValueIcd9]|RELATION[CodeValuePhi]|VALID FROM|VALID TO
arpav.imp.pressione.caratteristiche_V0|Caratteristiche|Caratteristiche||S|0|1|||||||||||30/10/2017 16:34|
arpav.imp.pressione.caratteristiche.00_V0|00|00||C|0|1|||||||App. itinerante su automezzo||||30/10/2017 16:43|
arpav.imp.pressione.caratteristiche.01_V0|01|01||C|0|1|||||||Serbatoio interrato||||30/10/2017 16:35|
arpav.imp.pressione.caratteristiche.02_V0|02|02||C|0|1|||||||Recipiente parte di imp. frigo||||30/10/2017 16:38|
arpav.imp.pressione.caratteristiche.03_V0|03|03||C|0|1|||||||Bombola fissa||||30/10/2017 16:38|
arpav.imp.pressione.caratteristiche.04_V0|04|04||C|0|1|||||||Bomb. di rec. fisso (fino a 10)||||30/10/2017 16:39|
arpav.imp.pressione.caratteristiche.05_V0|05|05||C|0|1|||||||Bomb. di rec. fisso (oltre 10)||||30/10/2017 16:39|
arpav.imp.pressione.caratteristiche.06_V0|06|06||C|0|1|||||||Cil. diam. min. 2,5 m (primo, sec.)||||30/10/2017 16:41|
arpav.imp.pressione.caratteristiche.07_V0|07|07||C|0|1|||||||Cil. diam. magg. 2,5 m (oltre sec.)||||30/10/2017 16:42|
arpav.imp.pressione.caratteristiche.08_V0|08|08||C|0|1|||||||Cil. diam. magg. 2,5 m||||30/10/2017 16:42|
arpav.imp.pressione.caratteristiche.09_V0|09|09||C|0|1|||||||Generatori fissi e semifissi||||30/10/2017 16:43|
arpav.imp.pressione.caratteristiche.10_V0|10|10||C|0|1|||||||Insiemi||||30/10/2017 16:44|
arpav.imp.pressione.caratteristiche.11_V0|11|11||C|0|1|||||||Recipienti gas (GPL)||||30/10/2017 16:44|
arpav.imp.pressione.caratteristiche.12_V0|12|12||C|0|1|||||||Tubazioni||||30/10/2017 16:44|
