ID|CODE|TRANSLATION[it]
arpav.ver.causale.04_V0|4|04 Naz. - Ver.Straord.A. Seg.Di Modifiche
arpav.ver.causale.04R_V0|4R|04 Reg. - Ver.Straord.A. Seg.Di Modifiche
arpav.ver.causale.21_V0|21|21 Naz. - Esame progetto
arpav.ver.causale.21R_V0|21R|21 Reg. - Esame progetto
arpav.ver.causale.22_V0|22|22 Naz. - Collaudo a prima verifica
arpav.ver.causale.22R_V0|22R|22 Reg. - Collaudo a prima verifica
arpav.ver.causale.23_V0|23|23 Naz. - Verifica periodica
arpav.ver.causale.23R_V0|23R|23 Reg. - Verifica periodica
arpav.ver.causale.24_V0|24|24 Naz. - Verifica straordinaria
arpav.ver.causale.24R_V0|24R|24 Reg. - Verifica straordinaria
arpav.ver.causale.25_V0|25|25 Naz. - Accertamenti dispos e prescriz
arpav.ver.causale.25R_V0|25R|25 Reg. - Accertamenti dispos e prescriz
arpav.ver.causale.26_V0|26|26 Naz. - Sopralluoghi e varie
arpav.ver.causale.26R_V0|26R|26 Reg. - Sopralluoghi e varie
arpav.ver.causale.27_V0|27|27 Naz. - Pr.Omol.Per conto ISPEL no IVA
arpav.ver.causale.27R_V0|27R|27 Reg. - Pr.Omol.Per conto ISPEL no IVA
arpav.ver.causale.31_V0|31|41 Naz. - Tassa di voltura
arpav.ver.causale.31R_V0|31R|41 Reg. - Tassa di voltura
arpav.ver.causale.32_V0|32|32 Naz. - Sopral. per rimozione
arpav.ver.causale.32R_V0|32R|32 Reg. - Sopral. per rimozione
arpav.ver.causale.33_V0|33|33 Naz. - Prove ed indagini varie
arpav.ver.causale.33R_V0|33R|33 Reg. - Prove ed indagini varie
arpav.ver.causale.34_V0|34|34 Naz. - Ver.Prove c/o Costr.e ripar.
arpav.ver.causale.34R_V0|34R|34 Reg. - Ver.Prove c/o Costr.e ripar.
arpav.ver.causale.35_V0|35|35 Naz. - Rilascio duplicato libretto
arpav.ver.causale.35R_V0|35R|35 Reg. - Rilascio duplicato libretto
arpav.ver.causale.36_V0|36|36 Naz. - Quota ann. e prove period.reg.
arpav.ver.causale.36R_V0|36R|36 Reg. - Quota ann. e prove period.reg.
arpav.ver.causale.38_V0|38|38 Naz. - Sopral.Accertam.Demoliz.,ecc.
arpav.ver.causale.38R_V0|38R|38 Reg. - Sopral.Accertam.Demoliz.,ecc.
arpav.ver.causale.39_V0|39|39 Naz. - Rilascio duplicato targa
arpav.ver.causale.39R_V0|39R|39 Reg. - Rilascio duplicato targa
arpav.ver.causale.40_V0|40|40 Naz. - Rilascio duplicato documentaz
arpav.ver.causale.40R_V0|40R|40 Reg. - Rilascio duplicato documentaz
arpav.ver.causale.41_V0|41|41 Naz. - Misure tensioni passo/contatto
arpav.ver.causale.41R_V0|41R|41 Reg. - Misure tensioni passo/contatto
arpav.ver.causale.42_V0|42|42 Naz. - Quata annua imp. riscaldamento
arpav.ver.causale.42R_V0|42R|42 Reg. - Quata annua imp. riscaldamento
arpav.ver.causale.46_V0|46|46 Naz. - Proventi per att. facoltative
arpav.ver.causale.46R_V0|46R|46 Reg. - Proventi per att. facoltative
arpav.ver.causale.47_V0|47|47 Naz. - Operazioni e prove lab. fisico
arpav.ver.causale.47R_V0|47R|47 Reg. - Operazioni e prove lab. fisico
arpav.ver.causale.48_V0|48|48 Naz. - Operaz. e prove lab. chimico
arpav.ver.causale.48R_V0|48R|48 Reg. - Operaz. e prove lab. chimico
arpav.ver.causale.50_V0|50|50 Naz. - Tassa di mora
arpav.ver.causale.50R_V0|50R|50 Reg. - Tassa di mora
arpav.ver.causale.51_V0|51|51 Naz. - Rimborsi per titoli diversi
arpav.ver.causale.51R_V0|51R|51 Reg. - Rimborsi per titoli diversi
arpav.ver.causale.52_V0|52|52 Naz. - Rimborsi sp. trasf. personale
arpav.ver.causale.52R_V0|52R|52 Reg. - Rimborsi sp. trasf. personale
arpav.ver.causale.54_V0|54|54 Naz. - IVA
arpav.ver.causale.54R_V0|54R|54 Reg. - IVA
arpav.ver.causale.60_V0|60|60 Naz. - Imposta di bollo
arpav.ver.causale.60R_V0|60R|60 Reg. - Imposta di bollo
arpav.ver.causale.81_V0|81|81 Naz. - Verifica interna/generale
arpav.ver.causale.81R_V0|81R|81 Reg. - Verifica interna/generale
arpav.ver.causale.82_V0|82|82 Naz. - Verifica idraulica/completa
arpav.ver.causale.82R_V0|82R|82 Reg. - Verifica idraulica/completa
arpav.ver.causale.83_V0|83|83 Naz. - Verifica a caldo/esercizio
arpav.ver.causale.83R_V0|83R|83 Reg. - Verifica a caldo/esercizio
arpav.ver.causale.84_V0|84|84 Naz. - Verifica radiocomando
arpav.ver.causale.84R_V0|84R|84 Reg. - Verifica radiocomando
arpav.ver.causale.85_V0|85|85 Naz. - Taratura valvole di sicurezza
arpav.ver.causale.85R_V0|85R|85 Reg. - Taratura valvole di sicurezza
arpav.ver.causale.86_V0|86|86 Naz. - Verifica a vuoto
arpav.ver.causale.86R_V0|86R|86 Reg. - Verifica a vuoto
arpav.ver.causale.87_V0|87|87 Naz. - Fotocopie da 1 a 20 pagine
arpav.ver.causale.87R_V0|87R|87 Reg. - Fotocopie da 1 a 20 pagine
arpav.ver.causale.88_V0|88|88 Naz. - Fotocopie da 21 a 50 pagine
arpav.ver.causale.88R_V0|88R|88 Reg. - Fotocopie da 21 a 50 pagine
arpav.ver.causale.89_V0|89|89 Naz. - Fotocopie oltre 50 pagine
arpav.ver.causale.89R_V0|89R|89 Reg. - Fotocopie oltre 50 pagine
arpav.ver.causale.90_V0|90|90 Naz. - Verifica straordinaria analisi
arpav.ver.causale.90R_V0|90R|90 Reg. - Verifica straordinaria analisi
arpav.ver.causale.91_V0|91|91 Naz. - Locali ad uso medico
arpav.ver.causale.91R_V0|91R|91 Reg. - Locali ad uso medico
arpav.ver.causale.92_V0|92|92 Naz. - Imp. autoproduzione energia el
arpav.ver.causale.92R_V0|92R|92 Reg. - Imp. autoproduzione energia el
arpav.ver.causale.93_V0|93|93 Naz. - Vidimazione libretti tirocinio
arpav.ver.causale.93R_V0|93R|93 Reg. - Vidimazione libretti tirocinio
