ID|CODE|TRANSLATION[it]
arpav.ver.casualeadd.01_V0|1|1 - PER TRASFORMAZIONE IMPIANTO
arpav.ver.casualeadd.02_V0|2|2 - PER RISTRUTTURAZIONE GENERALE
arpav.ver.casualeadd.03_V0|3|1000 - MATERIALE:ACQUA DI SCARICO IMPIANTI
arpav.ver.casualeadd.04_V0|4|2201 - VERIFICA A SCALE PORT.SEMP. A 1 TRONCO
arpav.ver.casualeadd.05_V0|5|2202 - VERIF. A SCALE PORT.SEMP. FINO 3 TRONCHI
arpav.ver.casualeadd.06_V0|6|2203 - VERIF. A SCALE PORT.SEMP. FINO 4 TRONCHI
arpav.ver.casualeadd.07_V0|7|2204 - VERIF. SCALE ELEM.INNEST. FINO 4 TRONCHI
arpav.ver.casualeadd.08_V0|8|2205 - VERIF. SCALE ELEM.INNEST. FINO 6 TRONCHI
arpav.ver.casualeadd.09_V0|9|2206 - VERIF. SCALE ELEM.INNEST. FINO 8 TRONCHI
arpav.ver.casualeadd.10_V0|10|2207 - VERIF. SCALE ELEM.INNEST.FINO 10 TRONCHI
arpav.ver.casualeadd.11_V0|11|2208 - VERIFICA A SCALE DOPPIE (FINO H=MT 5)
arpav.ver.casualeadd.12_V0|12|2209 - VERIFICA A SCALE COMBINATE
arpav.ver.casualeadd.13_V0|13|2210 - VERIF. SCALE AEREE A INCLINAZIONE FISSA
arpav.ver.casualeadd.14_V0|14|2211 - VERIF. GRU AZION.MANUALE (FINO KG 500)
arpav.ver.casualeadd.15_V0|15|2212 - VERIF. GRU AZION.MANUALE (FINO KG 5000)
arpav.ver.casualeadd.16_V0|16|2213 - VERIF. GRU AZION.MANUALE (OLTRE KG 5000)
arpav.ver.casualeadd.17_V0|17|2214 - VERIF. ARGANI E PARANCHI (FINO KG 300)
arpav.ver.casualeadd.18_V0|18|2215 - VERIF. ARGANI E PARANCHI (FINO KG 1000)
arpav.ver.casualeadd.19_V0|19|2216 - VERIF. ARGANI E PARANCHI (OLTRE KG 1000)
arpav.ver.casualeadd.20_V0|20|2217 - VER. ARGANI/PARANC.CON TRASM.(<= KG 300)
arpav.ver.casualeadd.21_V0|21|2218 - VER. ARGANI/PARANC.CON TRASM.(<=KG 1000)
arpav.ver.casualeadd.22_V0|22|2219 - VER. ARGANI/PARANC.CON TRASM.(> KG 1000)
arpav.ver.casualeadd.23_V0|23|2220 - NORME CEI EDIF.CIVILI - SERVIZI GENERALI
arpav.ver.casualeadd.24_V0|24|2221 - NORME CEI EDIF.CIVILI - PER VANO
arpav.ver.casualeadd.25_V0|25|2223 - NORME CEI EDIF.COMMERC.-PER PRIMI MQ 100
arpav.ver.casualeadd.26_V0|26|2222 - NORME CEI EDIF.COMMERC.-SERVIZI GENERALI
arpav.ver.casualeadd.27_V0|27|2224 - NORME CEI ED.COMM-SUCCESSIVI INCR.MQ 100
arpav.ver.casualeadd.28_V0|28|2227 - NORME CEI ED.IND.-SUCCESSIVI INCR.MQ 100
arpav.ver.casualeadd.29_V0|29|2226 - NORME CEI EDIF.INDUSTR.-PER PRIMI MQ 100
arpav.ver.casualeadd.30_V0|30|2225 - NORME CEI EDIF.INDUSTR.-SERVIZI GENERALI
arpav.ver.casualeadd.31_V0|31|2228 - VERIF. A MACCHINE A FUNZIONAM. SEMPLICE
arpav.ver.casualeadd.32_V0|32|2229 - VERIF. A MACCHINE A FUNZIONAM. COMPLESSO
arpav.ver.casualeadd.33_V0|33|2230 - INDAGINI FISICO-CHIM.(GENERATORI CALORE)
