ID|CODE|TRANSLATION[it]
arpav.sa.classec.001a_V0|001a|[001a] - Servizi Di Interesse Generale
arpav.sa.classec.001b_V0|001b|[001b] - Servizi Att. Econ.,Fin.,Soc.
arpav.sa.classec.001c_V0|001c|[001c] - Enti Pubblici Nazionali
arpav.sa.classec.001x_V0|001x|[001x] - Amministrazione centrale stato
arpav.sa.classec.002a_V0|002a|[002a] - Amm. Territoriali
arpav.sa.classec.002b_V0|002b|[002b] - Enti Pubblici Locali
arpav.sa.classec.002x_V0|002x|[002x] - Amministrazione Locale Stato
arpav.sa.classec.003x_V0|003x|[003x] - Enti Previd. E Assist. Sociale
arpav.sa.classec.004x_V0|004x|[004x] - Enti,Ist.,Amm.Statali E Esteri
arpav.sa.classec.101x_V0|101x|[101x] - Agricoltura
arpav.sa.classec.102x_V0|102x|[102x] - Zootecnia
arpav.sa.classec.103x_V0|103x|[103x] - Foreste
arpav.sa.classec.104x_V0|104x|[104x] - Caccia E Cattura Animali
arpav.sa.classec.105a_V0|105a|[105a] - Pesca E Allev. In Acque Dolci
arpav.sa.classec.105b_V0|105b|[105b] - Pesca,Allev. Marini O Lagunari
arpav.sa.classec.105x_V0|105x|[105x] - Pesca
arpav.sa.classec.106a_V0|106a|[106a] - Trasf.Az.Lavoranti Prod.Propri
arpav.sa.classec.106b_V0|106b|[106b] - Trasf.Cons.Racc.Vend. Prodotti
arpav.sa.classec.106c_V0|106c|[106c] - Esercizio Di Macchine Agricole
arpav.sa.classec.106d_V0|106d|[106d] - Altre Ass. Operanti Nell'agr.
arpav.sa.classec.106x_V0|106x|[106x] - Attivita' Connesse Con Agric.
arpav.sa.classec.201x_V0|201x|[201x] - Estraz. Minerali Metalliferi
arpav.sa.classec.202a_V0|202a|[202a] - Comb. Solidi,Liquidi,Gassosi
arpav.sa.classec.202b_V0|202b|[202b] - Altri Min. Non Metalliferi
arpav.sa.classec.202c_V0|202c|[202c] - Minerali Di Cava
arpav.sa.classec.202x_V0|202x|[202x] - Estr. Minerali Non Metalliferi
arpav.sa.classec.301a_V0|301a|[301a] - Molitoria,Della Pinificazione
arpav.sa.classec.301b_V0|301b|[301b] - Dolciaria
