ID|CODE|TRANSLATION[it]
arpav.imp.pressione.comodante.00_V0|00|COMODANTE NON CODIFICATO
arpav.imp.pressione.comodante.01_V0|01|AIR LIQUIDE SERVICE
arpav.imp.pressione.comodante.02_V0|02|AIR LIQUIDE CENTRO SANITA PADO
arpav.imp.pressione.comodante.03_V0|03|AIR LIQUIDE UO VIGONOVESE PADO
arpav.imp.pressione.comodante.04_V0|04|ALESSI GAS SRL
arpav.imp.pressione.comodante.05_V0|05|GOLDENGAS (EX API)
arpav.imp.pressione.comodante.06_V0|06|AUTOGAS NORD SRL
arpav.imp.pressione.comodante.07_V0|07|BRENTAGAS SRL
arpav.imp.pressione.comodante.08_V0|08|BUTANGAS - PAESE (TV)
arpav.imp.pressione.comodante.09_V0|09|CLODIAGAS
arpav.imp.pressione.comodante.10_V0|10|COSTANTIN SPA
arpav.imp.pressione.comodante.11_V0|11|DIREKTAGAS SNC
arpav.imp.pressione.comodante.12_V0|12|ENI AREA VENETO OVEST SIMA
arpav.imp.pressione.comodante.13_V0|13|ENI AREA VENETO EST
arpav.imp.pressione.comodante.14_V0|14|ENI AREA VENETO OVEST ARMANO
arpav.imp.pressione.comodante.15_V0|15|ENI CONC VERONA
arpav.imp.pressione.comodante.16_V0|16|ENI CONC STATI UNITI PADOVA
arpav.imp.pressione.comodante.17_V0|17|EUGAS
arpav.imp.pressione.comodante.18_V0|18|FONDECO
arpav.imp.pressione.comodante.19_V0|19|GAS ADIGE LEGNAGO SRL
arpav.imp.pressione.comodante.20_V0|20|INTERGAS
arpav.imp.pressione.comodante.21_V0|21|L'AUTOGAS OROBICA
arpav.imp.pressione.comodante.22_V0|22|L'EMILGAS
arpav.imp.pressione.comodante.23_V0|23|LAMPOGAS
arpav.imp.pressione.comodante.24_V0|24|LIQUIGAS SPA
arpav.imp.pressione.comodante.25_V0|25|LORO FLLI
arpav.imp.pressione.comodante.26_V0|26|ECOGAS (EX NUOVA MISSILGAS)
arpav.imp.pressione.comodante.27_V0|27|OROGAS
arpav.imp.pressione.comodante.28_V0|28|PIALORSI
arpav.imp.pressione.comodante.29_V0|29|PUBLIGAS - VILLAFRANCA DI VERO
arpav.imp.pressione.comodante.30_V0|30|RECORD GAS
arpav.imp.pressione.comodante.31_V0|31|SAPIO 
arpav.imp.pressione.comodante.32_V0|32|LIQUIGAS (EX SHELL GAS)
arpav.imp.pressione.comodante.33_V0|33|BEYFIN DIV SVEG
arpav.imp.pressione.comodante.34_V0|34|TRADINGAS
arpav.imp.pressione.comodante.35_V0|35|TRIVENGAS SRL
arpav.imp.pressione.comodante.36_V0|36|VENETA GPL
arpav.imp.pressione.comodante.37_V0|37|BUTANGAS - PORTOMAGGIORE (FE)
