#CODEVALUEMODEL=CodeValuePhi|CODESYSTEMID=phidic|CODESYSTEMNAME=PHIDIC|CODESYSTEMDISPLAYNAME=PHI DICTIONARY|VERSION=0|DESCRIPTION=Main CodeSystem|LANGUAGE=it|AUTHORITYNAME=Insiel Mercato SpA|AUTHORITYDESCRIPTION=Insiel Mercato SpA|AUTHORITYCONTACTINFORMATION=info@insielmercato.it
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|KEYWORDS|EXTENSION[Abbreviation]|EXTENSION[Enable annotation]|EXTENSION[Score]|TRANSLATION[de]|TRANSLATION[en]|TRANSLATION[it]|RELATION[CodeValueCity]|RELATION[CodeValueIcd9]|RELATION[CodeValuePhi]|VALID FROM|VALID TO
arpav.imp.pressione.comodante_V0|Comodante|COMODANTE||S|0|1|||||||||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.00_V0|00|00||C|0|1|||||||COMODANTE NON CODIFICATO||||30/10/2017 16:50| 
arpav.imp.pressione.comodante.01_V0|01|01||C|0|1|||||||AIR LIQUIDE SERVICE||||30/10/2017 16:50| 
arpav.imp.pressione.comodante.02_V0|02|02||C|0|1|||||||AIR LIQUIDE CENTRO SANITA PADO||||30/10/2017 16:50| 
arpav.imp.pressione.comodante.03_V0|03|03||C|0|1|||||||AIR LIQUIDE UO VIGONOVESE PADO||||30/10/2017 16:50| 
arpav.imp.pressione.comodante.04_V0|04|04||C|0|1|||||||ALESSI GAS SRL||||30/10/2017 16:50| 
arpav.imp.pressione.comodante.05_V0|05|05||C|0|1|||||||GOLDENGAS (EX API)||||30/10/2017 16:50| 
arpav.imp.pressione.comodante.06_V0|06|06||C|0|1|||||||AUTOGAS NORD SRL||||30/10/2017 16:50| 
arpav.imp.pressione.comodante.07_V0|07|07||C|0|1|||||||BRENTAGAS SRL||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.08_V0|08|08||C|0|1|||||||BUTANGAS - PAESE (TV)||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.09_V0|09|09||C|0|1|||||||CLODIAGAS||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.10_V0|10|10||C|0|1|||||||COSTANTIN SPA||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.11_V0|11|11||C|0|1|||||||DIREKTAGAS SNC||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.12_V0|12|12||C|0|1|||||||ENI AREA VENETO OVEST SIMA||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.13_V0|13|13||C|0|1|||||||ENI AREA VENETO EST||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.14_V0|14|14||C|0|1|||||||ENI AREA VENETO OVEST ARMANO||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.15_V0|15|15||C|0|1|||||||ENI CONC VERONA||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.16_V0|16|16||C|0|1|||||||ENI CONC STATI UNITI PADOVA||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.17_V0|17|17||C|0|1|||||||EUGAS||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.18_V0|18|18||C|0|1|||||||FONDECO||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.19_V0|19|19||C|0|1|||||||GAS ADIGE LEGNAGO SRL||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.20_V0|20|20||C|0|1|||||||INTERGAS||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.21_V0|21|21||C|0|1|||||||L'AUTOGAS OROBICA||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.22_V0|22|22||C|0|1|||||||L'EMILGAS||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.23_V0|23|23||C|0|1|||||||LAMPOGAS||||30/10/2017 00:00|
arpav.imp.pressione.comodante.24_V0|24|24||C|0|1|||||||LIQUIGAS SPA||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.25_V0|25|25||C|0|1|||||||LORO FLLI||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.26_V0|26|26||C|0|1|||||||ECOGAS (EX NUOVA MISSILGAS)||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.27_V0|27|27||C|0|1|||||||OROGAS||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.28_V0|28|28||C|0|1|||||||PIALORSI||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.29_V0|29|29||C|0|1|||||||PUBLIGAS - VILLAFRANCA DI VERO||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.30_V0|30|30||C|0|1|||||||RECORD GAS||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.31_V0|31|31||C|0|1|||||||SAPIO ||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.32_V0|32|32||C|0|1|||||||LIQUIGAS (EX SHELL GAS)||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.33_V0|33|33||C|0|1|||||||BEYFIN DIV SVEG||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.34_V0|34|34||C|0|1|||||||TRADINGAS||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.35_V0|35|35||C|0|1|||||||TRIVENGAS SRL||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.36_V0|36|36||C|0|1|||||||VENETA GPL||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.37_V0|37|37||C|0|1|||||||BUTANGAS - PORTOMAGGIORE (FE)||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.38_V0|38|38||C|0|1|||||||LAMPOGAS (EX GASADIGE)||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.39_V0|39|39||C|0|1|||||||BUTANGAS - RAVENNA||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.40_V0|40|40||C|0|1|||||||LIQUIGAS (EX ULTRAGAS)||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.41_V0|41|41||C|0|1|||||||SAN MARCO GAS SRL||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.42_V0|42|42||C|0|1|||||||ECOGAS SPA||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.43_V0|43|43||C|0|1|||||||TUTTOGAS SRL||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.44_V0|44|44||C|0|1|||||||OILGAS SRL||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.45_V0|45|45||C|0|1|||||||DELTAGAS||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.46_V0|46|46||C|0|1|||||||ECOCLIMA SRL||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.47_V0|47|47||C|0|1|||||||VULCANGAS-SOC IT GAS LIQUIDI||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.48_V0|48|48||C|0|1|||||||BUTANGAS - SUZZARA (MN)||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.49_V0|49|49||C|0|1|||||||BUTANGAS - BOLOGNA||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.50_V0|50|50||C|0|1|||||||PUBLIGAS SRL - MARTELLAGO||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.51_V0|51|51||C|0|1|||||||FASSA SPA||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.52_V0|52|52||C|0|1|||||||KALORGAS SPA||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.53_V0|53|53||C|0|1|||||||KALORGAS SPA||||30/10/2017 16:50| 
arpav.imp.pressione.comodante.54_V0|54|54||C|0|1|||||||LE MALTE||||30/10/2017 00:00| 
arpav.imp.pressione.comodante.55_V0|55|55||C|0|1|||||||FRIULANAGAS SPA (EX DELTAGAS)||||30/10/2017 00:00| 
