#CODEVALUEMODEL=CodeValuePhi|CODESYSTEMID=phidic|CODESYSTEMNAME=PHIDIC|CODESYSTEMDISPLAYNAME=PHI DICTIONARY|VERSION=0|DESCRIPTION=Main CodeSystem|LANGUAGE=it|AUTHORITYNAME=Insiel Mercato SpA|AUTHORITYDESCRIPTION=Insiel Mercato SpA|AUTHORITYCONTACTINFORMATION=info@insielmercato.it
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|KEYWORDS|EXTENSION[Abbreviation]|EXTENSION[Enable annotation]|EXTENSION[Score]|TRANSLATION[de]|TRANSLATION[en]|TRANSLATION[it]|RELATION[CodeValueCity]|RELATION[CodeValueIcd9]|RELATION[CodeValuePhi]|VALID FROM|VALID TO
arpav.imp.riscaldamento.descloc_V0|DescLoc|DescLoc||S|0|1|||||||||||31/10/2017 09:13|
arpav.imp.riscaldamento.descloc.01_V0|A|Abitazione permanente||C|0|1|||||||Abitazione permanente||||31/10/2017 09:19|
arpav.imp.riscaldamento.descloc.02_V0|B|Abitazione per vacanze||C|0|1|||||||Abitazione per vacanze||||31/10/2017 09:19|
arpav.imp.riscaldamento.descloc.03_V0|C|Albergo|				|C|0|1|||||||Albergo||||31/10/2017 09:20|
arpav.imp.riscaldamento.descloc.04_V0|D|Casa di cura||C|0|1|||||||Casa di cura||||31/10/2017 09:20|
arpav.imp.riscaldamento.descloc.05_V0|E|Casa di riposo||C|0|1|||||||Casa di riposo||||31/10/2017 09:20|
arpav.imp.riscaldamento.descloc.06_V0|F|Caserma||C|0|1|||||||Caserma||||31/10/2017 09:21|
arpav.imp.riscaldamento.descloc.07_V0|G|Collegio||C|0|1|||||||Collegio||||31/10/2017 09:22|
arpav.imp.riscaldamento.descloc.08_V0|H|Impianto sportivo||C|0|1|||||||Impianto sportivo||||31/10/2017 09:22|
arpav.imp.riscaldamento.descloc.09_V0|I|Luogo di culto||C|0|1|||||||Luogo di culto||||31/10/2017 09:22|
arpav.imp.riscaldamento.descloc.10_V0|L|Mostra museo||C|0|1|||||||Mostra museo||||31/10/2017 09:23|
arpav.imp.riscaldamento.descloc.11_V0|M|Negozio o magazzino||C|0|1|||||||Negozio o magazzino||||31/10/2017 09:23|
arpav.imp.riscaldamento.descloc.12_V0|N|Ospedale||C|0|1|||||||Ospedale||||31/10/2017 09:24|
arpav.imp.riscaldamento.descloc.13_V0|O|Pubblico spettacolo||C|0|1|||||||Pubblico spettacolo||||31/10/2017 09:24|
arpav.imp.riscaldamento.descloc.14_V0|P|Ristorante||C|0|1|||||||Ristorante||||31/10/2017 09:25|
arpav.imp.riscaldamento.descloc.15_V0|Q|Scuola||C|0|1|||||||Scuola||||31/10/2017 09:25|
arpav.imp.riscaldamento.descloc.16_V0|R|Stabilimento industriale||C|0|1|||||||Stabilimento industriale||||31/10/2017 09:26|
arpav.imp.riscaldamento.descloc.17_V0|S|Studio ufficio privato||C|0|1|||||||Studio ufficio privato||||31/10/2017 09:26|
arpav.imp.riscaldamento.descloc.18_V0|T|Ufficio pubblico||C|0|1|||||||Ufficio pubblico||||31/10/2017 09:27|
arpav.imp.riscaldamento.descloc.19_V0|Z|Altre non elencate||C|0|1|||||||Altre non elencate||||31/10/2017 09:27|
