ID|CODE|TRANSLATION[it]
arpav.ver.entever.01_V0|01|5 - ARPAV
arpav.ver.entever.02_V0|02|1111 - NON ACCETTATO AFFIDAMENTO
arpav.ver.entever.03_V0|03|2222 - NS DISDETTA AFFIDAMENTO
arpav.ver.entever.04_V0|04|9001 - APAVE ITALIA CPM SRL
arpav.ver.entever.05_V0|05|9002 - APICE SRL
arpav.ver.entever.06_V0|06|9003 - AVAL SRL
arpav.ver.entever.07_V0|07|9004 - BUREAU VERITAS ITALIA SPA
arpav.ver.entever.08_V0|08|9005 - CEC CONSORZIO EUROPEO CERTIF
arpav.ver.entever.09_V0|09|9006 - CENPI SCRL
arpav.ver.entever.10_V0|10|9007 - ECO CERTIFICAZIONI SPA
arpav.ver.entever.11_V0|11|9008 - ELLISSE SRL
arpav.ver.entever.12_V0|12|9009 - ENPI SRL
arpav.ver.entever.13_V0|13|9010 - ENTE CERTIFICAZIONE MACCHINE S
arpav.ver.entever.14_V0|14|9011 - EURISP ITALIA SRL
arpav.ver.entever.15_V0|15|9012 - EUROFINS MODULO UNO SPA
arpav.ver.entever.16_V0|16|9013 - IMQ SPA
arpav.ver.entever.17_V0|17|9014 - IPI INGEGNERIA PER L’INDUSTR
arpav.ver.entever.18_V0|18|9015 - RINA SERVICES SPA
arpav.ver.entever.20_V0|20|9017 - TUV ITALIA SRL
arpav.ver.entever.21_V0|21|9018 - VENETA ENGINEERING SRL
arpav.ver.entever.22_V0|22|9019 - VESIM VERIFICHE SICUREZZA IMPI
arpav.ver.entever.23_V0|23|9020 - I&S INGEGNERIA E SICUREZZA SRL
arpav.ver.entever.24_V0|24|9021 - VERIFICHE INDUSTRIALI SRL
arpav.ver.entever.25_V0|25|9022 - EZI INSPECTIONS SRL
arpav.ver.entever.26_V0|26|9023 - VERICERT SRL
arpav.ver.entever.27_V0|27|9024 - CTE CERTIFICAZIONI SRL
arpav.ver.entever.28_V0|28|9025 - VEM SRL
arpav.ver.entever.29_V0|29|9026 - VAI VERIFICATORI ITALIANI ASS
arpav.ver.entever.30_V0|30|9027 - NORMATEMPO SRL
arpav.ver.entever.31_V0|31|9999 - ALTRO ENTE NOTIFICATO
