ID|CODE|TRANSLATION[it]
spisal.company.forma.af_V0|af|ALTRE FORME
spisal.company.forma.as_V0|as|SOCIETA' IN ACCOMANDITA SEMPLICE
spisal.company.forma.AU_V0|AU|SOCIETA' PER AZIONI CON SOCIO UNICO
spisal.company.forma.cl_V0|cl|SOCIETA' COOPERATIVA A RESPONSABILITA LIMITATA
spisal.company.forma.co_V0|co|CONSORZIO
spisal.company.forma.DI_V0|DI|IMPRESA INDIVIDUALE
spisal.company.forma.en_V0|en|ENTE
spisal.company.forma.sc_V0|sc|SOCIETA' COOPERATIVA
spisal.company.forma.sn_V0|sn|SOCIETA' IN NOME COLLETTIVO
spisal.company.forma.SP_V0|SP|SOCIETA' PER AZIONI
spisal.company.forma.SR_V0|SR|SOCIETA' A RESPONSABILITA' LIMITATA
spisal.company.forma.su_V0|su|SOCIETA' A RESPONSABILITA' LIMITATA CON UNICO SOCIO
