ID|CODE|TRANSLATION[it]
arpav.imp.riscaldamento.manutentori.01_V0|01|Basso Mirco
arpav.imp.riscaldamento.manutentori.02_V0|02|Belletti Ascensori
arpav.imp.riscaldamento.manutentori.03_V0|03|Calcaterra
arpav.imp.riscaldamento.manutentori.04_V0|04|Ecom
arpav.imp.riscaldamento.manutentori.05_V0|05|Mg Elevatori Snc
arpav.imp.riscaldamento.manutentori.06_V0|06|Kone
arpav.imp.riscaldamento.manutentori.07_V0|07|Eurolift
arpav.imp.riscaldamento.manutentori.08_V0|08|Due Bi Snc
arpav.imp.riscaldamento.manutentori.09_V0|09|Rima Ascensori
arpav.imp.riscaldamento.manutentori.10_V0|10|Paraboni
arpav.imp.riscaldamento.manutentori.11_V0|11|Furini
arpav.imp.riscaldamento.manutentori.12_V0|12|Hydrolift
arpav.imp.riscaldamento.manutentori.13_V0|13|Csa Nord Est (Ex Mam)
arpav.imp.riscaldamento.manutentori.14_V0|14|Marime Snc
arpav.imp.riscaldamento.manutentori.15_V0|15|Pasotto & C
arpav.imp.riscaldamento.manutentori.16_V0|16|Vea
arpav.imp.riscaldamento.manutentori.17_V0|17|Scarpa
arpav.imp.riscaldamento.manutentori.18_V0|18|Vega Srl
arpav.imp.riscaldamento.manutentori.19_V0|19|Schindler
arpav.imp.riscaldamento.manutentori.20_V0|20|Otis
arpav.imp.riscaldamento.manutentori.21_V0|21|Veneta Ascensori
arpav.imp.riscaldamento.manutentori.22_V0|22|Vergati
arpav.imp.riscaldamento.manutentori.23_V0|23|Csa Elevatori Nord Est
arpav.imp.riscaldamento.manutentori.24_V0|24|Zanon Danilo
arpav.imp.riscaldamento.manutentori.25_V0|25|Riam
arpav.imp.riscaldamento.manutentori.26_V0|26|Minzoni
arpav.imp.riscaldamento.manutentori.27_V0|27|Maic
arpav.imp.riscaldamento.manutentori.28_V0|28|Cima Impianti
arpav.imp.riscaldamento.manutentori.29_V0|29|Marive
arpav.imp.riscaldamento.manutentori.30_V0|30|Thyssen
arpav.imp.riscaldamento.manutentori.31_V0|31|Shuttle Ascensori
arpav.imp.riscaldamento.manutentori.32_V0|32|El Po
arpav.imp.riscaldamento.manutentori.33_V0|33|Gbl Srl
arpav.imp.riscaldamento.manutentori.34_V0|34|Coam
arpav.imp.riscaldamento.manutentori.35_V0|35|Selco Snc
arpav.imp.riscaldamento.manutentori.36_V0|36|Wm Elevatori Srl
arpav.imp.riscaldamento.manutentori.37_V0|37|Manutentore Ignoto
arpav.imp.riscaldamento.manutentori.38_V0|38|Detto Renato
arpav.imp.riscaldamento.manutentori.39_V0|39|Esa Elevatori Ora Wm 48
arpav.imp.riscaldamento.manutentori.40_V0|40|Wm Elevatori Snc
arpav.imp.riscaldamento.manutentori.41_V0|41|Carrellificio Vicentino Srl
arpav.imp.riscaldamento.manutentori.42_V0|42|Alaimo - Dolo
arpav.imp.riscaldamento.manutentori.43_V0|43|Boccato Flavio - Rosolina Ro
arpav.imp.riscaldamento.manutentori.44_V0|44|Comad Snc
arpav.imp.riscaldamento.manutentori.45_V0|45|Neulift Service Triven Srl
arpav.imp.riscaldamento.manutentori.46_V0|46|Sima Impianti Sas
arpav.imp.riscaldamento.manutentori.47_V0|47|Zanoli Umberto
arpav.imp.riscaldamento.manutentori.48_V0|48|Imac Di Carraro G.B.
arpav.imp.riscaldamento.manutentori.49_V0|49|Carraro Ascensori Snc
arpav.imp.riscaldamento.manutentori.50_V0|50|Lenzi Ascensori
arpav.imp.riscaldamento.manutentori.51_V0|51|Imar Snc
arpav.imp.riscaldamento.manutentori.52_V0|52|Pasotto
arpav.imp.riscaldamento.manutentori.53_V0|53|Csa Nord Est (Ex Monti)
arpav.imp.riscaldamento.manutentori.54_V0|54|Pizzeghella E Stevan
arpav.imp.riscaldamento.manutentori.55_V0|55|Erreci Ascensori
arpav.imp.riscaldamento.manutentori.56_V0|56|Imam Srl
arpav.imp.riscaldamento.manutentori.57_V0|57|Csa Nord Est (Ex Csa Bologna)
arpav.imp.riscaldamento.manutentori.58_V0|58|Adm
arpav.imp.riscaldamento.manutentori.59_V0|59|Fp Ascensori Srl
arpav.imp.riscaldamento.manutentori.60_V0|60|Abm Ascensori
arpav.imp.riscaldamento.manutentori.61_V0|61|Csa Nord Est (Ex Vima)
arpav.imp.riscaldamento.manutentori.62_V0|62|Monti Ascensori
arpav.imp.riscaldamento.manutentori.63_V0|63|Fava Ascensori
arpav.imp.riscaldamento.manutentori.64_V0|64|Asb Ascensori Srl
arpav.imp.riscaldamento.manutentori.65_V0|65|Cofely - Kone
arpav.imp.riscaldamento.manutentori.66_V0|66|Nord Elevators
arpav.imp.riscaldamento.manutentori.67_V0|67|Antoniana Ascensori Srl
arpav.imp.riscaldamento.manutentori.68_V0|68|Mas Monti Appalti E Servizi Sr
arpav.imp.riscaldamento.manutentori.69_V0|69|Esa Spa Ex Mav Monti Ascensori
arpav.imp.riscaldamento.manutentori.70_V0|70|Ceam Elevatori Srl
arpav.imp.riscaldamento.manutentori.71_V0|71|Esa Elevatori Spa
arpav.imp.riscaldamento.manutentori.72_V0|72|Due Elle Snc
arpav.imp.riscaldamento.manutentori.73_V0|73|Unilift
arpav.imp.riscaldamento.manutentori.74_V0|74|Arca
arpav.imp.riscaldamento.manutentori.75_V0|75|Scam Srl
arpav.imp.riscaldamento.manutentori.76_V0|76|Vimec
