ID|CODE|TRANSLATION[it]
spisal.pratiche.nomina.alimentarista_V0|Tecnico alimentarista|Tecnico alimentarista
spisal.pratiche.nomina.amministrativo_V0|Personale amministrativo|Personale amministrativo
spisal.pratiche.nomina.assistentesanitario_V0|Assistente sanitario|Assistente sanitario
spisal.pratiche.nomina.chimico_V0|Dirigente chimico|Dirigente chimico
spisal.pratiche.nomina.direttore_V0|Direttore del servizio|Direttore del servizio
spisal.pratiche.nomina.dirigente_V0|Dirigente|Dirigente
spisal.pratiche.nomina.infermiere_V0|Personale infermieristico|Personale infermieristico
spisal.pratiche.nomina.informatico_V0|Informatico|Informatico
spisal.pratiche.nomina.ingegnere_V0|Dirigente ingegnere|Dirigente ingegnere
spisal.pratiche.nomina.ispettore_V0|Personale di vigilanza ed ispezione|Personale di vigilanza ed ispezione
spisal.pratiche.nomina.medico_V0|Dirigente medico|Dirigente medico
spisal.pratiche.nomina.prevenzione_V0|Tecnico della prevenzione|Tecnico della prevenzione
spisal.pratiche.nomina.psicologo_V0|Psicologo del lavoro|Psicologo del lavoro
spisal.pratiche.nomina.sumai_V0|Medico sumai|Medico sumai
spisal.pratiche.nomina.tecnicogenerico_V0|Tecnico generico|Tecnico generico
spisal.pratiche.nomina.tecnicospecializzato_V0|Operatore tecnico specializzato|Operatore tecnico specializzato
