ID|CODE|TRANSLATION[it]
arpav.ver.sopralluogo.01_V0|01|A: Inattivo a tempo indeterminato
arpav.ver.sopralluogo.02_V0|02|B: Demolito
arpav.ver.sopralluogo.03_V0|03|C: Mod. uso definitiva
arpav.ver.sopralluogo.04_V0|04|D: Mod. uso temporanea
arpav.ver.sopralluogo.05_V0|05|E: Escluso dalla sorveglianza
arpav.ver.sopralluogo.06_V0|06|F: Inviato estero
arpav.ver.sopralluogo.07_V0|07|G: Cause varie accert. amministrativi
arpav.ver.sopralluogo.08_V0|08|H: Cause varie
arpav.ver.sopralluogo.09_V0|09|M: Accertamento demolizione (art. 73)
arpav.ver.sopralluogo.10_V0|10|N: Accertamento demolizione (non descritto)
arpav.ver.sopralluogo.11_V0|11|O: Constatazione inattività o modificazione d'uso temporanea
arpav.ver.sopralluogo.12_V0|12|P: Constatazione esclusione apparecchio dalla sorveglianza (artt. 3 e 4)
arpav.ver.sopralluogo.13_V0|13|Q: Constatazione modifica d'uso definitiva per impiego non a pressione
