ID|CODE|TRANSLATION[it]
spisal.company.statoatt.01_V0|01|IN ATTIVITÀ
spisal.company.statoatt.02_V0|02|IN ATTESA DI AUT. SAN.
spisal.company.statoatt.03_V0|03|CESSATA
spisal.company.statoatt.04_V0|04|A LIVELLO DI PARERE PREVENTIVO
spisal.company.statoatt.05_V0|05|ATTIVITA' TEMPORANEA
spisal.company.statoatt.06_V0|06|ATTIVITA' PRIVA DI A.S.
spisal.company.statoatt.07_V0|07|LIQUIDATA
spisal.company.statoatt.08_V0|08|FALLITA
spisal.company.statoatt.09_V0|09|SOSPESA
spisal.company.statoatt.10_V0|10|INATTIVA
spisal.company.statoatt.11_V0|11|IN ATTESA REGISTRAZIONE CCIAA
spisal.company.statoatt.18_V0|18|ATTIVA
spisal.company.statoatt.95041_V0|95041|IN LIQUIDAZIONE
