ID|CODE|TRANSLATION[it]
arpav.ver.statoimp.00_V0|00|0: Apparecchio in carico
arpav.ver.statoimp.01_V0|01|1: Escluso dalla sorveglianza
arpav.ver.statoimp.02_V0|02|2: In carico a ditta fallita
arpav.ver.statoimp.03_V0|03|3: Accertam. amm. in corso
arpav.ver.statoimp.04_V0|04|4: Custodia giudiziaria
arpav.ver.statoimp.05_V0|05|5: Esonerato in sede di utiliz.
arpav.ver.statoimp.06_V0|06|6: Escluso
arpav.ver.statoimp.07_V0|07|7: Inviato all'estero
arpav.ver.statoimp.08_V0|08|8: Demolito
arpav.ver.statoimp.09_V0|09|9: Modificato d'uso
arpav.ver.statoimp.10_V0|10|10: Escluso con constatazione
arpav.ver.statoimp.11_V0|11|11: Demolito con constatazione
arpav.ver.statoimp.12_V0|12|12: Ceduto o rivenduto
arpav.ver.statoimp.13_V0|13|13: Passato all'ISPESL
arpav.ver.statoimp.14_V0|14|14: Radiato per irreperibilità
arpav.ver.statoimp.16_V0|16|16: In attesa di esonero
arpav.ver.statoimp.17_V0|17|17: Ditta trasferita o cessata
arpav.ver.statoimp.18_V0|18|18: Apparecchio itinerante
arpav.ver.statoimp.19_V0|19|19: In attesa installazione
arpav.ver.statoimp.20_V0|20|20: In attesa collaudo ISPESL
arpav.ver.statoimp.21_V0|21|21: Radiato per cambio d'uso
arpav.ver.statoimp.22_V0|22|22: Escluso sorv DM 329/04 art. 11
arpav.ver.statoimp.23_V0|23|23: Manca matr ISPESL app CE
arpav.ver.statoimp.24_V0|24|24: Manca matr ISPESL (CE) con der
arpav.ver.statoimp.25_V0|25|25: Incompleta di documentazione
arpav.ver.statoimp.26_V0|26|26: Escluso sorv DM 329/04 art. 2
arpav.ver.statoimp.27_V0|27|27: Pratica annullata dalla ditta
arpav.ver.statoimp.28_V0|28|28: In att 1° ver p ISPESL (81/08)
arpav.ver.statoimp.29_V0|29|29: Reimmatricolato
arpav.ver.statoimp.30_V0|30|30: Matr. INAIL da confermare
arpav.ver.statoimp.31_V0|31|31: Inattivo
