ID|CODE|TRANSLATION[it]
arpav.ver.statoimp02.00_V0|00|0: Regolarmente attivo
arpav.ver.statoimp02.01_V0|01|1: Inattivo
arpav.ver.statoimp02.02_V0|02|2: Escluso dalla sorveglianza
arpav.ver.statoimp02.03_V0|03|3: Demolito
arpav.ver.statoimp02.04_V0|04|4: Utente fallito
arpav.ver.statoimp02.05_V0|05|5: Utente irreperibile
arpav.ver.statoimp02.06_V0|06|6: In custodia giudiziaria
arpav.ver.statoimp02.08_V0|08|8: Non può funzionare
arpav.ver.statoimp02.09_V0|09|9: Di competenza ISPSEL
arpav.ver.statoimp02.10_V0|10|10: Cessata attività
arpav.ver.statoimp02.7_V0|07|7: Da riattivare
