ID|CODE|TRANSLATION[it]
arpav.imp.pressione.tipo.01_V0|01|Generatore a vapore fisso
arpav.imp.pressione.tipo.02_V0|02|Generatore a vapore semifisso
arpav.imp.pressione.tipo.03_V0|03|Generatore riscald. elettrico
arpav.imp.pressione.tipo.04_V0|04|Linea attrezz.re a pressione
arpav.imp.pressione.tipo.05_V0|05|Forno
arpav.imp.pressione.tipo.06_V0|06|Locomobile
arpav.imp.pressione.tipo.07_V0|07|Recipiente per vapore
arpav.imp.pressione.tipo.08_V0|08|Rec. press. ambiente vita
arpav.imp.pressione.tipo.09_V0|09|Generatore di acetilene
arpav.imp.pressione.tipo.10_V0|10|Rec. press. ambienti lavoro
