ID|CODE|TRANSLATION[it]
spisal.company.tipo1.agenzia_V0|agenzia|AGENZIA
spisal.company.tipo1.ambulatorio_V0|ambulatorio|AMBULATORIO
spisal.company.tipo1.bar_V0|bar|BAR
spisal.company.tipo1.cantiere_V0|cantiere|CANTIERE
spisal.company.tipo1.capannone_V0|capannone|CAPANNONE
spisal.company.tipo1.centraleelettrica_V0|centraleelettrica|CENTRALE ELETTRICA
spisal.company.tipo1.concessionaria_V0|concessionaria|CONCESSIONARIA
spisal.company.tipo1.DEPOSITO_V0|DEPOSITO|DEPOSITO
spisal.company.tipo1.dipendenza_V0|dipendenza|DIPENDENZA
spisal.company.tipo1.direzioneamministrativa_V0|direzioneamministrativa|DIREZIONE AMMINISTRATIVA
spisal.company.tipo1.discarica_V0|discarica|DISCARICA
spisal.company.tipo1.edicola_V0|edicola|EDICOLA
spisal.company.tipo1.esercizio_V0|esercizio|ESERCIZIO
spisal.company.tipo1.eserciziodivicinato_V0|eserciziodivicinato|ESERCIZIO DI VICINATO
spisal.company.tipo1.FILIALE_V0|FILIALE|FILIALE
spisal.company.tipo1.impianto_V0|impianto|IMPIANTO
spisal.company.tipo1.laboratorio_V0|laboratorio|LABORATORIO
spisal.company.tipo1.MAGAZZINO_V0|MAGAZZINO|MAGAZZINO
spisal.company.tipo1.magazzinoconvenditaingrosso_V0|magazzinoconvenditaingrosso|MAGAZZINO CON VENDITA INGROSSO
spisal.company.tipo1.magazzinogenerale_V0|magazzinogenerale|MAGAZZINO GENERALE
spisal.company.tipo1.negozio_V0|negozio|NEGOZIO
spisal.company.tipo1.negozioconannessolaboratorio_V0|negozioconannessolaboratorio|NEGOZIO CON ANNESSO LABORATORIO
spisal.company.tipo1.officina_V0|officina|OFFICINA
spisal.company.tipo1.pizzeria_V0|pizzeria|PIZZERIA
spisal.company.tipo1.ristorante_V0|ristorante|RISTORANTE
spisal.company.tipo1.saladiesposizione_V0|saladiesposizione|SALA DI ESPOSIZIONE
spisal.company.tipo1.SEDE OPERATIVA_V0|SEDE OPERATIVA|SEDE OPERATIVA
spisal.company.tipo1.sedeamministrativa_V0|sedeamministrativa|SEDE AMMINISTRATIVA
spisal.company.tipo1.sededellimpresaartigiana_V0|sededellimpresaartigiana|SEDE DELL'IMPRESA ARTIGIANA
spisal.company.tipo1.sedediliquidazione_V0|sedediliquidazione|SEDE DI LIQUIDAZIONE
spisal.company.tipo1.sedeoperativa_V0|sedeoperativa|SEDE OPERATIVA
spisal.company.tipo1.sedesecondaria_V0|sedesecondaria|SEDE SECONDARIA
spisal.company.tipo1.sportello_V0|sportello|SPORTELLO
spisal.company.tipo1.STABILIMENTO_V0|STABILIMENTO|STABILIMENTO
spisal.company.tipo1.UFFICIO COMMERCIALE_V0|UFFICIO COMMERCIALE|UFFICIO COMMERCIALE
spisal.company.tipo1.UFFICIO TECNICO_V0|UFFICIO TECNICO|UFFICIO TECNICO
spisal.company.tipo1.UFFICIO_V0|UFFICIO|UFFICIO
spisal.company.tipo1.ufficioamministrativo_V0|ufficioamministrativo|UFFICIO AMMINISTRATIVO
spisal.company.tipo1.ufficiocommerciale_V0|ufficiocommerciale|UFFICIO COMMERCIALE
spisal.company.tipo1.ufficiocondepositoomagazzino_V0|ufficiocondepositoomagazzino|UFFICIO CON DEPOSITO O MAGAZZINO
spisal.company.tipo1.ufficiodirappresentanza_V0|ufficiodirappresentanza|UFFICIO DI RAPPRESENTANZA
spisal.company.tipo1.ufficiotecnico_V0|ufficiotecnico|UFFICIO TECNICO
spisal.company.tipo1.UNITA' LOCALE OPERATIVA_V0|UNITA' LOCALE OPERATIVA|UNITA' LOCALE OPERATIVA
spisal.company.tipo1.unitalocaleamministrativa_V0|unitalocaleamministrativa|UNITA LOCALE AMMINISTRATIVA
spisal.company.tipo1.unitalocaleoperativa_V0|unitalocaleoperativa|UNITA' LOCALE OPERATIVA
