ID|CODE|TRANSLATION[it]
spisal.company.tipoditta.01_V0|01|DITTA INDIVIDUALE
spisal.company.tipoditta.02_V0|02|ESERCIZIO PUBBLICO
spisal.company.tipoditta.03_V0|03|ATTIVITÀ ARTIGIANALE
spisal.company.tipoditta.04_V0|04|ESERCIZIO PUBBLICO ANNESSO A TEATRO
spisal.company.tipoditta.05_V0|05|SOCIETÀ
spisal.company.tipoditta.06_V0|06|AZIENDA AGRICOLA
spisal.company.tipoditta.07_V0|07|CONDOMINIO
spisal.company.tipoditta.08_V0|08|PATENTINO VENDITA PRODOTTI FITOSANITARI
spisal.company.tipoditta.09_V0|09|ENTE PUBBLICO
spisal.company.tipoditta.107_V0|107|BONIFICATORE AMIANTO
spisal.company.tipoditta.109_V0|109|EDILIZIA
spisal.company.tipoditta.10_V0|10|STAND GASTRONOMICO
spisal.company.tipoditta.111_V0|111|STABILIMENTO PRODUTTIVO
spisal.company.tipoditta.113_V0|113|COMMERCIO AL DETTAGLIO
spisal.company.tipoditta.11_V0|11|ASSOCIAZIONE CULTURALE
spisal.company.tipoditta.123_V0|123|IMPRESA EDILE
spisal.company.tipoditta.12_V0|12|AUTOMEZZI (INIZIO ATTIVITA')
spisal.company.tipoditta.13_V0|13|ESERCIZI ARENILE
spisal.company.tipoditta.14_V0|14|STABILIMENTO BALNEARE
spisal.company.tipoditta.15_V0|15|PISCINA
spisal.company.tipoditta.16_V0|16|ACCONCIATURA E CENTRI ESTETICI
spisal.company.tipoditta.17_V0|17|CIRCOLO
spisal.company.tipoditta.18_V0|18|RIVENDITA PRODOTTI FITOSANITARI
spisal.company.tipoditta.19_V0|19|PUB
spisal.company.tipoditta.20_V0|20|SUPERMERCATO
spisal.company.tipoditta.21_V0|21|PARTITO POLITICO
spisal.company.tipoditta.22_V0|22|COOPERATIVA
spisal.company.tipoditta.23_V0|23|LAVORATORE AUTONOMO
spisal.company.tipoditta.24_V0|24|VENDITA AL DETTAGLIO
spisal.company.tipoditta.25_V0|25|CASH & CARRY
spisal.company.tipoditta.26_V0|26|SCUOLE
spisal.company.tipoditta.27_V0|27|ASSOCIAZIONE RELIGIOSA
spisal.company.tipoditta.28_V0|28|AGRITURISMO
spisal.company.tipoditta.29_V0|29|ASILO NIDO
spisal.company.tipoditta.30_V0|30|BAR
spisal.company.tipoditta.31_V0|31|PIZZERIA DA ASPORTO
spisal.company.tipoditta.32_V0|32|RISTORANTE ETNICO
spisal.company.tipoditta.33_V0|33|ASSISTENZA ANZIANI
spisal.company.tipoditta.34_V0|34|GESTORE ACQUEDOTTO
spisal.company.tipoditta.35_V0|35|RISTORANTE
spisal.company.tipoditta.36_V0|36|CHIOSCO
spisal.company.tipoditta.37_V0|37|SCUOLA
spisal.company.tipoditta.38_V0|38|BAR-RISTORANTE
spisal.company.tipoditta.39_V0|39|CENTRO SOCIALE
spisal.company.tipoditta.40_V0|40|BAR-LATTERIA
spisal.company.tipoditta.41_V0|41|PIZZERIA
spisal.company.tipoditta.42_V0|42|NEGOZIO ALIMENTARI
spisal.company.tipoditta.43_V0|43|PANIFICIO
spisal.company.tipoditta.44_V0|44|LABORATORIO ARTIGIANALE
spisal.company.tipoditta.45_V0|45|ERBORISTERIA
spisal.company.tipoditta.46_V0|46|CREPERIA
spisal.company.tipoditta.47_V0|47|MENSA SCOLASTICA
spisal.company.tipoditta.48_V0|48|TABACCHERIA
spisal.company.tipoditta.49_V0|49|DEPOSITO SUSSIDIARIO
spisal.company.tipoditta.50_V0|50|ASSOCIAZIONE DI CATEGORIA
spisal.company.tipoditta.51_V0|51|RISTORANTE CINESE
spisal.company.tipoditta.52_V0|52|MENSA AZIENDALE
spisal.company.tipoditta.53_V0|53|ALBERGO CON BAR - RISTORANTE
spisal.company.tipoditta.54_V0|54|PANINOTECA
spisal.company.tipoditta.55_V0|55|CASA FARMACEUTICA
spisal.company.tipoditta.56_V0|56|SEDE LEGALE
spisal.company.tipoditta.57_V0|57|SEDE SECONDARIA
spisal.company.tipoditta.59_V0|59|ALTRE FORME
spisal.company.tipoditta.65_V0|65|CANTIERE
spisal.company.tipoditta.68_V0|68|SEDE CENTRALE
spisal.company.tipoditta.aa_V0|AA|CODICE CERVED AA
spisal.company.tipoditta.al_V0|AL|CODICE CERVED AL
spisal.company.tipoditta.bar_V0|BAR|CODICE CERVED BAR
spisal.company.tipoditta.ca_V0|CA|CODICE CERVED CA
spisal.company.tipoditta.cnt_V0|CNT|CODICE CERVED CNT
spisal.company.tipoditta.dep_V0|DEP|CODICE CERVED DEP
spisal.company.tipoditta.es_V0|ES|CODICE CERVED ES
spisal.company.tipoditta.fi_V0|FI|CODICE CERVED FI
spisal.company.tipoditta.iaa_V0|IAA|CODICE CERVED IAA
spisal.company.tipoditta.ias_V0|IAS|CODICE CERVED IAS
spisal.company.tipoditta.idc_V0|IDC|CODICE CERVED IDC
spisal.company.tipoditta.lb_V0|LB|CODICE CERVED LB
spisal.company.tipoditta.ma_V0|MA|CODICE CERVED MA
spisal.company.tipoditta.mag_V0|MAG|CODICE CERVED MAG
spisal.company.tipoditta.mvi_V0|MVI|CODICE CERVED MVI
spisal.company.tipoditta.ne_V0|NE|CODICE CERVED NE
spisal.company.tipoditta.neg_V0|NEG|CODICE CERVED NEG
