#CODEVALUEMODEL=CodeValuePhi|CODESYSTEMID=phidic|CODESYSTEMNAME=PHIDIC|CODESYSTEMDISPLAYNAME=PHI DICTIONARY|VERSION=0|DESCRIPTION=Main CodeSystem|LANGUAGE=it|AUTHORITYNAME=Insiel Mercato SpA|AUTHORITYDESCRIPTION=Insiel Mercato SpA|AUTHORITYCONTACTINFORMATION=info@insielmercato.it
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|KEYWORDS|EXTENSION[Abbreviation]|EXTENSION[Enable annotation]|EXTENSION[Score]|TRANSLATION[de]|TRANSLATION[en]|TRANSLATION[it]|RELATION[CodeValueCity]|RELATION[CodeValueIcd9]|RELATION[CodeValuePhi]|VALID FROM|VALID TO
arpav.imp.sollevamento.type2new_V0|Type2New|Type2New||S|0|1|||||||Type2New||||11/09/2018 10:56|
arpav.imp.sollevamento.type2new.01_V0|01|01||C|0|1|||||||01 - SVILUPPO MASSIMO FINO A MT 8||||06/11/2017 13:30|
arpav.imp.sollevamento.type2new.02_V0|02|02||C|0|1|||||||02 - GIREVOLE,SVIL. MAX FINO A MT 8||||06/11/2017 13:30|
arpav.imp.sollevamento.type2new.03_V0|03|03||C|0|1|||||||03 - SVILUPPO MASSIMO OLTRE I MT 8||||06/11/2017 13:30|
arpav.imp.sollevamento.type2new.04_V0|04|04||C|0|1|||||||04 - GIREVOLE,SVIL. MAX OLTRE MT 8||||06/11/2017 13:30|
arpav.imp.sollevamento.type2new.05_V0|05|05||C|0|1|||||||05 - PONTE MOBILE AZION.MANUALE||||06/11/2017 13:30|
arpav.imp.sollevamento.type2new.06_V0|06|06||C|0|1|||||||06 - PONTE MOBILE AZION.MOTORIZZATO||||06/11/2017 13:30|
arpav.imp.sollevamento.type2new.07_V0|07|07||C|0|1|||||||07 - TIPO LEGGERO (2 ARGANI)||||06/11/2017 13:30|
arpav.imp.sollevamento.type2new.08_V0|08|08||C|0|1|||||||08 - TIPO PESANTE (4 ARGANI)||||06/11/2017 13:30|
arpav.imp.sollevamento.type2new.09_V0|09|09||C|0|1|||||||09 - A MANOVRA MANUALE FINO 300 KG||||06/11/2017 13:30|
arpav.imp.sollevamento.type2new.10_V0|10|10||C|0|1|||||||10 - A MANOVRA MANUALE OLTRE 300 KG||||06/11/2017 13:30|
arpav.imp.sollevamento.type2new.11_V0|11|11||C|0|1|||||||11 - IDROESTRATTORE||||06/11/2017 13:30|
arpav.imp.sollevamento.type2new.12_V0|12|12||C|0|1|||||||12 - PER OGNI PANIERE IN PIU'||||06/11/2017 00:00|
arpav.imp.sollevamento.type2new.13_V0|13|13||C|0|1|||||||13 - A STRUTT. LIMITATA < =  500 KG||||06/11/2017 13:30|
arpav.imp.sollevamento.type2new.14_V0|14|14||C|0|1|||||||14 - A STRUTT. LIMITATA > 500 KG||||06/11/2017 13:30|
arpav.imp.sollevamento.type2new.15_V0|15|15||C|0|1|||||||15 - A PONTE FINO A 10 TONNELLATE||||06/11/2017 13:30|
arpav.imp.sollevamento.type2new.16_V0|16|16||C|0|1|||||||16 - A PONTE OLTRE 10 TONNELLATE||||06/11/2017 13:30|
arpav.imp.sollevamento.type2new.17_V0|17|17||C|0|1|||||||17 - GRU A BANDIERA (EX COD. 13||||06/11/2017 13:30|
arpav.imp.sollevamento.type2new.18_V0|18|18||C|0|1|||||||18 - PORTALE BR.FIX O GIR.FINO 10T.||||06/11/2017 13:30|
arpav.imp.sollevamento.type2new.19_V0|19|19||C|0|1|||||||19 - PORTALE BR.FIX O GIR.OLTRE 10T||||06/11/2017 13:30|
arpav.imp.sollevamento.type2new.20_V0|20|20||C|0|1|||||||20 - A CAVALLETTO FINO A 10 TON.||||06/11/2017 13:30|
arpav.imp.sollevamento.type2new.21_V0|21|21||C|0|1|||||||21 - A CAVALL.OLTRE 10 TONNELLATE||||06/11/2017 13:30|
