ID|CODE|TRANSLATION[it]
arpav.ver.verstr.01_V0|01|A: Cessione (compra-vendita)
arpav.ver.verstr.02_V0|02|B: Restauro presso utente
arpav.ver.verstr.03_V0|03|C: Riattivazione
arpav.ver.verstr.04_V0|04|D: Controllo prescrizioni
arpav.ver.verstr.05_V0|05|E: Cambio utilizz. tecnologica
arpav.ver.verstr.06_V0|06|F: App. proveniente estero
arpav.ver.verstr.07_V0|07|G: Concessione esonero
arpav.ver.verstr.08_V0|08|H: Avaria
arpav.ver.verstr.09_V0|09|I: Prova idraulica supplementare
arpav.ver.verstr.10_V0|10|L: Sostitutiva periodica
arpav.ver.verstr.11_V0|11|S: Riparazione (carico utente)
arpav.ver.verstr.12_V0|12|T: Riparazione (carico riparatore)
arpav.ver.verstr.13_V0|13|V: Varie
