#CODEVALUEMODEL=CodeValueIcd9|CODESYSTEMID=2.16.840.1.113883.6.103|CODESYSTEMNAME=ICD9DIAG|CODESYSTEMDISPLAYNAME=ICD9DIAG|VERSION=0|DESCRIPTION=ICD9DIAG|LANGUAGE=it|AUTHORITYNAME=Insiel Mercato|AUTHORITYDESCRIPTION=Insiel Mercato|AUTHORITYCONTACTINFORMATION=Insiel Mercato|VALIDFROM=23/01/2013 10:03||||
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|KEYWORDS|EXTENSION[classification]|TRANSLATION[de]|TRANSLATION[en]|TRANSLATION[it]|RELATION[CodeValuePhi]|VALID FROM|VALID TO
01_V0|01|01|Malattie infettive e parassitarie (001-139)|S|0|1|||||Malattie infettive e parassitarie (001-139)||22/04/2010 17:44|
01.001_V0|001|001|Colera|S|0|1|||||Colera||22/04/2010 17:44|
01.001.0_V0|001.0|001.0|Colera da Vibrio cholerae|C|0|1|||||Colera da Vibrio cholerae||22/04/2010 17:44|
01.001.1_V0|001.1|001.1|Colera da Vibrio cholerae el tor|C|0|1|||||Colera da Vibrio cholerae el tor||22/04/2010 17:44|
01.001.9_V0|001.9|001.9|Colera non specificato|C|0|1|||||Colera non specificato||22/04/2010 17:44|
01.002_V0|002|002|Febbre tifoide e paratifoide|S|0|1|||||Febbre tifoide e paratifoide||22/04/2010 17:44|
01.002.0_V0|002.0|002.0|Febbre tifoide|C|0|1|||||Febbre tifoide||22/04/2010 17:44|
01.002.1_V0|002.1|002.1|Paratifo A|C|0|1|||||Paratifo A||22/04/2010 17:44|
01.002.2_V0|002.2|002.2|Paratifo B|C|0|1|||||Paratifo B||22/04/2010 17:44|
01.002.3_V0|002.3|002.3|Paratifo C|C|0|1|||||Paratifo C||22/04/2010 17:44|
01.002.9_V0|002.9|002.9|Paratifo non specificato|C|0|1|||||Paratifo non specificato||22/04/2010 17:44|
01.003_V0|003|003|Altre infezioni da Salmonella|S|0|1|||||Altre infezioni da Salmonella||22/04/2010 17:44|
01.003.0_V0|003.0|003.0|Gastroenterite da Salmonella|C|0|1|||||Gastroenterite da Salmonella||22/04/2010 17:44|
01.003.1_V0|003.1|003.1|Setticemia da Salmonella|C|0|1|||||Setticemia da Salmonella||22/04/2010 17:44|
01.003.2_V0|003.2|003.2|Infezioni localizzate da Salmonella|S|0|1|||||Infezioni localizzate da Salmonella||22/04/2010 17:44|
01.003.2.0_V0|003.20|003.20|Infezioni localizzate da Salmonella, non specificate|C|0|1|||||Infezioni localizzate da Salmonella, non specificate||22/04/2010 17:44|
01.003.2.1_V0|003.21|003.21|Meningite da Salmonella|C|0|1|||||Meningite da Salmonella||22/04/2010 17:44|
01.003.2.2_V0|003.22|003.22|Polmonite da Salmonella|C|0|1|||||Polmonite da Salmonella||22/04/2010 17:44|
01.003.2.3_V0|003.23|003.23|Artrite da Salmonella|C|0|1|||||Artrite da Salmonella||22/04/2010 17:44|
01.003.2.4_V0|003.24|003.24|Osteomielite da Salmonella|C|0|1|||||Osteomielite da Salmonella||22/04/2010 17:44|
01.003.2.9_V0|003.29|003.29|Altre infezioni localizzate da Salmonella|C|0|1|||||Altre infezioni localizzate da Salmonella||22/04/2010 17:44|
01.003.8_V0|003.8|003.8|Altre infezioni specifiche da Salmonella|C|0|1|||||Altre infezioni specifiche da Salmonella||22/04/2010 17:44|
01.003.9_V0|003.9|003.9|Infezioni da Salmonella non specificate|C|0|1|||||Infezioni da Salmonella non specificate||22/04/2010 17:44|
01.004_V0|004|004|Shigellosi|S|0|1|||||Shigellosi||22/04/2010 17:44|
01.004.0_V0|004.0|004.0|Shigella dysenteriae|C|0|1|||||Shigella dysenteriae||22/04/2010 17:44|
01.004.1_V0|004.1|004.1|Shigella flexneri|C|0|1|||||Shigella flexneri||22/04/2010 17:44|
01.004.2_V0|004.2|004.2|Shigella boydii|C|0|1|||||Shigella boydii||22/04/2010 17:44|
01.004.3_V0|004.3|004.3|Shigella sonnei|C|0|1|||||Shigella sonnei||22/04/2010 17:44|
01.004.8_V0|004.8|004.8|Altre infezioni specifiche da Shigella|C|0|1|||||Altre infezioni specifiche da Shigella||22/04/2010 17:44|
01.004.9_V0|004.9|004.9|Shigellosi non specificata|C|0|1|||||Shigellosi non specificata||22/04/2010 17:44|
01.005_V0|005|005|Altre intossicazioni alimentari (batteriche)|S|0|1|||||Altre intossicazioni alimentari (batteriche)||22/04/2010 17:44|
01.005.0_V0|005.0|005.0|Intossicazione alimentare da Stafilococco|C|0|1|||||Intossicazione alimentare da Stafilococco||22/04/2010 17:44|
01.005.1_V0|005.1|005.1|Botulismo|C|0|1|||||Botulismo||22/04/2010 17:44|
01.005.2_V0|005.2|005.2|Intossicazione alimentare da Clostridium perfringens (C. welchii)|C|0|1|||||Intossicazione alimentare da Clostridium perfringens (C. welchii)||22/04/2010 17:44|
01.005.3_V0|005.3|005.3|Intossicazione alimentare da altri Clostridi|C|0|1|||||Intossicazione alimentare da altri Clostridi||22/04/2010 17:44|
01.005.4_V0|005.4|005.4|Intossicazione alimentare da Vibrio parahaemolyticus|C|0|1|||||Intossicazione alimentare da Vibrio parahaemolyticus||22/04/2010 17:44|
01.005.8_V0|005.8|005.8|Altre intossicazioni alimentari batteriche|S|0|1|||||Altre intossicazioni alimentari batteriche||22/04/2010 17:44|
01.005.8.1_V0|005.81|005.81|Intossicazione alimentare da Vibrio vulnificus|C|0|1|||||Intossicazione alimentare da Vibrio vulnificus||22/04/2010 17:44|
01.005.8.9_V0|005.89|005.89|Altre intossicazioni alimentari batteriche|C|0|1|||||Altre intossicazioni alimentari batteriche||22/04/2010 17:44|
01.005.9_V0|005.9|005.9|Intossicazione alimentare non specificata|C|0|1|||||Intossicazione alimentare non specificata||22/04/2010 17:44|
01.006_V0|006|006|Amebiasi|S|0|1|||||Amebiasi||22/04/2010 17:44|
01.006.0_V0|006.0|006.0|Dissenteria amebica acuta senza menzione di ascesso|C|0|1|||||Dissenteria amebica acuta senza menzione di ascesso||22/04/2010 17:44|
01.006.1_V0|006.1|006.1|Amebiasi intestinale cronica senza menzione di ascesso|C|0|1|||||Amebiasi intestinale cronica senza menzione di ascesso||22/04/2010 17:44|
01.006.2_V0|006.2|006.2|Colite amebica non dissenterica|C|0|1|||||Colite amebica non dissenterica||22/04/2010 17:44|
01.006.3_V0|006.3|006.3|Ascesso amebico del fegato|C|0|1|||||Ascesso amebico del fegato||22/04/2010 17:44|
01.006.4_V0|006.4|006.4|Ascesso amebico del polmone|C|0|1|||||Ascesso amebico del polmone||22/04/2010 17:44|
01.006.5_V0|006.5|006.5|Ascesso amebico dell’encefalo|C|0|1|||||Ascesso amebico dell’encefalo||22/04/2010 17:44|
01.006.6_V0|006.6|006.6|Ulcera amebica della pelle|C|0|1|||||Ulcera amebica della pelle||22/04/2010 17:44|
01.006.8_V0|006.8|006.8|Infezione amebica di altre sedi|C|0|1|||||Infezione amebica di altre sedi||22/04/2010 17:44|
01.006.9_V0|006.9|006.9|Amebiasi non specificata|C|0|1|||||Amebiasi non specificata||22/04/2010 17:44|
01.007_V0|007|007|Altre malattie intestinali da protozoi|S|0|1|||||Altre malattie intestinali da protozoi||22/04/2010 17:44|
01.007.0_V0|007.0|007.0|Balantidiasi|C|0|1|||||Balantidiasi||22/04/2010 17:44|
01.007.1_V0|007.1|007.1|Giardiasi|C|0|1|||||Giardiasi||22/04/2010 17:44|
01.007.2_V0|007.2|007.2|Coccidiosi|C|0|1|||||Coccidiosi||22/04/2010 17:44|
01.007.3_V0|007.3|007.3|Tricomoniasi intestinale|C|0|1|||||Tricomoniasi intestinale||22/04/2010 17:44|
01.007.4_V0|007.4|007.4|Criptosporidiosi|C|0|1|||||Criptosporidiosi||22/04/2010 17:44|
01.007.5_V0|007.5|007.5|Ciclosporiasi|C|0|1|||||Ciclosporiasi||22/04/2010 17:44|
01.007.8_V0|007.8|007.8|Altre malattie intestinali da protozoi|C|0|1|||||Altre malattie intestinali da protozoi||22/04/2010 17:44|
01.007.9_V0|007.9|007.9|Malattia intestinale non specificata da protozoi|C|0|1|||||Malattia intestinale non specificata da protozoi||22/04/2010 17:44|
01.008_V0|008|008|Infezioni intestinali da altri organismi|S|0|1|||||Infezioni intestinali da altri organismi||22/04/2010 17:44|
01.008.0_V0|008.0|008.0|Infezione intestinale da Escherichia coli|S|0|1|||||Infezione intestinale da Escherichia coli||22/04/2010 17:44|
01.008.0.0_V0|008.00|008.00|Infezione intestinale da Escherichia coli non specificato|C|0|1|||||Infezione intestinale da Escherichia coli non specificato||22/04/2010 17:44|
01.008.0.1_V0|008.01|008.01|Infezione intestinale da Escherichia coli enteropatogeno|C|0|1|||||Infezione intestinale da Escherichia coli enteropatogeno||22/04/2010 17:44|
01.008.0.2_V0|008.02|008.02|Infezione intestinale da Escherichia coli enterotossico|C|0|1|||||Infezione intestinale da Escherichia coli enterotossico||22/04/2010 17:44|
01.008.0.3_V0|008.03|008.03|Infezione intestinale da Escherichia coli enteroinvasioa|C|0|1|||||Infezione intestinale da Escherichia coli enteroinvasioa||22/04/2010 17:44|
01.008.0.4_V0|008.04|008.04|Infezione intestinale da Escherichia coli enteroemorragico|C|0|1|||||Infezione intestinale da Escherichia coli enteroemorragico||22/04/2010 17:44|
01.008.0.9_V0|008.09|008.09|Altre infezioni intestinali da Esche richia coli|C|0|1|||||Altre infezioni intestinali da Esche richia coli||22/04/2010 17:44|
01.008.1_V0|008.1|008.1|Infezione intestinale da bacilli paracolici del gruppo Arizona|C|0|1|||||Infezione intestinale da bacilli paracolici del gruppo Arizona||22/04/2010 17:44|
01.008.2_V0|008.2|008.2|Infezione intestinale da Aerobacter aerogenes|C|0|1|||||Infezione intestinale da Aerobacter aerogenes||22/04/2010 17:44|
01.008.3_V0|008.3|008.3|Infezione intestinale da Proteus (mirabilis) (morganii)|C|0|1|||||Infezione intestinale da Proteus (mirabilis) (morganii)||22/04/2010 17:44|
01.008.4_V0|008.4|008.4|Infezione intestinale da altri batteri specificati|S|0|1|||||Infezione intestinale da altri batteri specificati||22/04/2010 17:44|
01.008.4.1_V0|008.41|008.41|Infezione intestinale da Stafilococco|C|0|1|||||Infezione intestinale da Stafilococco||22/04/2010 17:44|
01.008.4.2_V0|008.42|008.42|Infezione intestinale da Pseudomonas|C|0|1|||||Infezione intestinale da Pseudomonas||22/04/2010 17:44|
01.008.4.3_V0|008.43|008.43|Infezione intestinale da Campylobacter|C|0|1|||||Infezione intestinale da Campylobacter||22/04/2010 17:44|
01.008.4.4_V0|008.44|008.44|Infezione intestinale da Yersinia enterocolitica|C|0|1|||||Infezione intestinale da Yersinia enterocolitica||22/04/2010 17:44|
01.008.4.5_V0|008.45|008.45|Infezione intestinale da Clostridium difficile|C|0|1|||||Infezione intestinale da Clostridium difficile||22/04/2010 17:44|
01.008.4.6_V0|008.46|008.46|Infezione intestinale da altri anaerobi|C|0|1|||||Infezione intestinale da altri anaerobi||22/04/2010 17:44|
01.008.4.7_V0|008.47|008.47|Infezione intestinale da altri batteri gram-negativi|C|0|1|||||Infezione intestinale da altri batteri gram-negativi||22/04/2010 17:44|
01.008.4.9_V0|008.49|008.49|Infezione intestinale da altri batteri specificati|C|0|1|||||Infezione intestinale da altri batteri specificati||22/04/2010 17:44|
01.008.5_V0|008.5|008.5|Enterite batterica non specificata|C|0|1|||||Enterite batterica non specificata||22/04/2010 17:44|
01.008.6_V0|008.6|008.6|Enterite da virus specificati|S|0|1|||||Enterite da virus specificati||22/04/2010 17:44|
01.008.6.1_V0|008.61|008.61|Enterite da Rotavirus|C|0|1|||||Enterite da Rotavirus||22/04/2010 17:44|
01.008.6.2_V0|008.62|008.62|Enterite da Adenovirus|C|0|1|||||Enterite da Adenovirus||22/04/2010 17:44|
01.008.6.3_V0|008.63|008.63|Enterite da Norwalk virus|C|0|1|||||Enterite da Norwalk virus||22/04/2010 17:44|
01.008.6.4_V0|008.64|008.64|Enterite da altri small round virus|C|0|1|||||Enterite da altri small round virus||22/04/2010 17:44|
01.008.6.5_V0|008.65|008.65|Enterite da Calicivirus|C|0|1|||||Enterite da Calicivirus||22/04/2010 17:44|
01.008.6.6_V0|008.66|008.66|Enterite da Astrovirus|C|0|1|||||Enterite da Astrovirus||22/04/2010 17:44|
01.008.6.7_V0|008.67|008.67|Enterite da Enterovirus NIA|C|0|1|||||Enterite da Enterovirus NIA||22/04/2010 17:44|
01.008.6.9_V0|008.69|008.69|Altre enteriti virali|C|0|1|||||Altre enteriti virali||22/04/2010 17:44|
01.008.8_V0|008.8|008.8|Infezione intestinale da altri organismi non classificati altrove|C|0|1|||||Infezione intestinale da altri organismi non classificati altrove||22/04/2010 17:44|
01.009_V0|009|009|Infezioni intestinali mal definite|S|0|1|||||Infezioni intestinali mal definite||22/04/2010 17:44|
01.009.0_V0|009.0|009.0|Colite, enterite e gastroenterite infettive|C|0|1|||||Colite, enterite e gastroenterite infettive||22/04/2010 17:44|
01.009.1_V0|009.1|009.1|Colite, enterite e gastroenterite di presunta origine infettiva|C|0|1|||||Colite, enterite e gastroenterite di presunta origine infettiva||22/04/2010 17:44|
01.009.2_V0|009.2|009.2|Diarrea infettiva|C|0|1|||||Diarrea infettiva||22/04/2010 17:44|
01.009.3_V0|009.3|009.3|Diarrea di presunta origine infettiva|C|0|1|||||Diarrea di presunta origine infettiva||22/04/2010 17:44|
01.010_V0|010|010|Infezione tubercolare primaria|S|0|1|||||Infezione tubercolare primaria||22/04/2010 17:44|
01.010.0_V0|010.0|010.0|Complesso tubercolare primario|S|0|1|||||Complesso tubercolare primario||22/04/2010 17:44|
01.010.0.0_V0|010.00|010.00|Complesso tubercolare primario, non specificato|C|0|1|||||Complesso tubercolare primario, non specificato||22/04/2010 17:44|
01.010.0.1_V0|010.01|010.01|Complesso tubercolare primario, esame batteriologico o istologico non effettuato|C|0|1|||||Complesso tubercolare primario, esame batteriologico o istologico non effettuato||22/04/2010 17:44|
01.010.0.2_V0|010.02|010.02|Complesso tubercolare primario, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)|C|0|1|||||Complesso tubercolare primario, risultato dell’esame batteriologico o istologico non conosciuto (allo stato attuale)||22/04/2010 17:44|
01.010.0.3_V0|010.03|010.03|Complesso tubercolare primario, esame microscopico dell’espettorato positivo|C|0|1|||||Complesso tubercolare primario, esame microscopico dell’espettorato positivo||22/04/2010 17:44|
01.010.0.4_V0|010.04|010.04|Complesso tubercolare primario, esame microscopico dell’espettorato negativo, ma con esame colturale positivo|C|0|1|||||Complesso tubercolare primario, esame microscopico dell’espettorato negativo, ma con esame colturale positivo||22/04/2010 17:44|
01.010.0.5_V0|010.05|010.05|Complesso tubercolare primario, esame batteriologico negativo, ma tubercolosi confermata istologicamente|C|0|1|||||Complesso tubercolare primario, esame batteriologico negativo, ma tubercolosi confermata istologicamente||22/04/2010 17:44|
01.010.0.6_V0|010.06|010.06|Complesso tubercolare primario, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi|C|0|1|||||Complesso tubercolare primario, esami batteriologici o istologici negativi, ma tubercolosi confermata in laboratorio con altri metodi||22/04/2010 17:44|
01.010.1_V0|010.1|010.1|Pleurite tubercolare in tubercolosi primaria progressiva|S|0|1|||||Pleurite tubercolare in tubercolosi primaria progressiva||22/04/2010 17:44|
01.010.1.0_V0|010.10|010.10|Pleurite tubercolare in tubercolosi primaria progressiva, non specificata|C|0|1|||||Pleurite tubercolare in tubercolosi primaria progressiva, non specificata||22/04/2010 17:44|
