#CODEVALUEMODEL=CodeValueIcd9|CODESYSTEMID=2.16.840.1.113883.6.104|CODESYSTEMNAME=ICD9PROC|CODESYSTEMDISPLAYNAME=ICD9 PRESTAZIONI|VERSION=2002|DESCRIPTION=ICD9 Procedure Codes|LANGUAGE=it|AUTHORITYNAME=National Center for Health Statistics|AUTHORITYDESCRIPTION=World Health Organization|AUTHORITYCONTACTINFORMATION=http://www.cdc.gov/nchs/icd9.htm|VALIDFROM=22/04/2010 10:22
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|TRANSLATION[de]|TRANSLATION[en]|TRANSLATION[it]|RELATION[CodeValuePhi]|VALID FROM|VALID TO
01_V2002|-|Incisioni ed asportazioni di patologia del cranio, del cervello e delle meningi cerebrali|Incisioni ed asportazioni di patologia del cranio, del cervello e delle meningi cerebrali|T|0|1|||Incisioni ed asportazioni di patologia del cranio, del cervello e delle meningi cerebrali||22/04/2010 10:22|
01.0_V2002|01.0|Puntura transcranica (trapanazione del cranio)|Puntura transcranica (trapanazione del cranio)|S|0|1|||Puntura transcranica (trapanazione del cranio)||22/04/2010 10:22|
01.0.1_V2002|01.01|Puntura delle cisterne|Puntura delle cisterne|C|0|1|||Puntura delle cisterne||22/04/2010 10:22|
01.0.2_V2002|01.02|Puntura ventricolare mediante catetere già impiantato|Puntura ventricolare mediante catetere già impiantato|C|0|1|||Puntura ventricolare mediante catetere già impiantato||22/04/2010 10:22|
01.0.9_V2002|01.09|Altra puntura del cranio|Altra puntura del cranio|C|0|1|||Altra puntura del cranio||22/04/2010 10:22|
01.1_V2002|01.1|Procedure diagnostiche sul cranio, sul cervello e sulle meningi cerebrali|Procedure diagnostiche sul cranio, sul cervello e sulle meningi cerebrali|S|0|1|||Procedure diagnostiche sul cranio, sul cervello e sulle meningi cerebrali||22/04/2010 10:22|
01.1.1_V2002|01.11|Biopsia [percutanea] [agobiopsia] delle meningi cerebrali|Biopsia [percutanea] [agobiopsia] delle meningi cerebrali|C|0|1|||Biopsia [percutanea] [agobiopsia] delle meningi cerebrali||22/04/2010 10:22|
01.1.2_V2002|01.12|Biopsia a cielo aperto delle meningi cerebrali|Biopsia a cielo aperto delle meningi cerebrali|C|0|1|||Biopsia a cielo aperto delle meningi cerebrali||22/04/2010 10:22|
01.1.3_V2002|01.13|Biopsia [percutanea] [agobiopsia] di lesione cerebrale|Biopsia [percutanea] [agobiopsia] di lesione cerebrale|C|0|1|||Biopsia [percutanea] [agobiopsia] di lesione cerebrale||22/04/2010 10:22|
01.1.4_V2002|01.14|Biopsia a cielo aperto di lesione cerebrale|Biopsia a cielo aperto di lesione cerebrale|C|0|1|||Biopsia a cielo aperto di lesione cerebrale||22/04/2010 10:22|
01.1.5_V2002|01.15|Biopsia delle ossa craniche|Biopsia delle ossa craniche|C|0|1|||Biopsia delle ossa craniche||22/04/2010 10:22|
01.1.8_V2002|01.18|Altre procedure diagnostiche sul cervello e sulle meningi cerebrali|Altre procedure diagnostiche sul cervello e sulle meningi cerebrali|C|0|1|||Altre procedure diagnostiche sul cervello e sulle meningi cerebrali||22/04/2010 10:22|
01.1.9_V2002|01.19|Altre procedure diagnostiche sul cranio|Altre procedure diagnostiche sul cranio|C|0|1|||Altre procedure diagnostiche sul cranio||22/04/2010 10:22|
01.2_V2002|01.2|Craniotomia e craniectomia|Craniotomia e craniectomia|S|0|1|||Craniotomia e craniectomia||22/04/2010 10:22|
01.2.1_V2002|01.21|Incisione e drenaggio dei seni cranici|Incisione e drenaggio dei seni cranici|C|0|1|||Incisione e drenaggio dei seni cranici||22/04/2010 10:22|
