#CODEVALUEMODEL=CodeValueLaw|CODESYSTEMID=Legge81|CODESYSTEMNAME=Legge81|CODESYSTEMDISPLAYNAME=Legge81|VERSION=0|DESCRIPTION=Legge 81|LANGUAGE=it|AUTHORITYNAME=Insiem Mercato SpA|AUTHORITYDESCRIPTION=Insiem Mercato SpA|AUTHORITYCONTACTINFORMATION=Insiem Mercato SpA|VALIDFROM=31/07/2013 12:00
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|KEYWORDS|EXTENSION[Arresto]|EXTENSION[Classificazione]|EXTENSION[CodiceContravventore]|EXTENSION[Comma]|EXTENSION[Corpo]|EXTENSION[DescrizioneContravventore]|EXTENSION[ImportoMax]|EXTENSION[ImportoMin]|EXTENSION[Lettera]|EXTENSION[NotaContravventore]|EXTENSION[NotaPrescrizione]|EXTENSION[NotaViolazione]|EXTENSION[SanzionatoDa]|EXTENSION[Sanzione]|TRANSLATION[de]|TRANSLATION[en]|TRANSLATION[it]|VALID FROM|VALID TO
7639_V0|81|81/08 da Luglio 2013|81/08 da Luglio 2013 - d.lgs 81/2008 con modifiche luglio 2013|S|0|1|||||||||||||||||||31/07/2013 12:00|
7639.10_V0|10|TITOLO X - ESPOSIZIONE AD AGENTI BIOLOGICI|TITOLO X - ESPOSIZIONE AD AGENTI BIOLOGICI|S|0|1||||||||||||||||||TITOLO X - ESPOSIZIONE AD AGENTI BIOLOGICI|10/11/2016 13:05|
7639.10.1_V0|101|CAPO I - DISPOSIZIONI GENERALI ESPOSIZIONE AD AGENTI BIOLOGICI|CAPO I - DISPOSIZIONI GENERALI ESPOSIZIONE AD AGENTI BIOLOGICI|S|0|1||||||||||||||||||CAPO I - DISPOSIZIONI GENERALI ESPOSIZIONE AD AGENTI BIOLOGICI|10/11/2016 13:08|
7639.10.1.27067|27067270|270 - 1 -  - Autorizzazione|Autorizzazione|C|0|1||arresto da tre a sei mesi||DD|1|Il datore di lavoro che intende utilizzare, nell'esercizio della propria attività, un agente biologico del gruppo 4 deve munirsi di autorizzazione del Ministero del lavoro, della salute e delle politiche sociali.|Datori di lavoro e dirigenti|7014,4|2740|||||Articolo 282-2-a|ammenda da 2740 a 7014,4 euro||||03/12/2013 16:29|
7639.10.1.27068|27068270|270 - 2 - a - Autorizzazione|Autorizzazione|C|0|1|||||2|La richiesta di autorizzazione è corredata dalle informazioni di cui all'articolo 269, comma 1||||a|||||||||03/12/2013 16:29|
7639.10.1.27069|27069270|270 - 2 - b - AUTORIZZAZIONI|AUTORIZZAZIONI|C|0|1|||||2|La richiesta di autorizzazione è corredata dall'elenco degli agenti che si intende utilizzare.||||b|||||||||03/12/2013 16:29|
7639.10.1.27070|27070270|270 - 4 -  - Autorizzazione|Autorizzazione|C|0|1||arresto da tre a sei mesi||DD|4|Il datore di lavoro in possesso dell'autorizzazione di cui al comma 1 informa il Ministero del lavoro, della salute e delle politiche sociali di ogni nuovo agente biologico del gruppo 4 utilizzato, nonch‚ di ogni avvenuta cessazione di impiego di un agente biologico del gruppo 4.|Datori di lavoro e dirigenti|7014,4|2740|||||Articolo 282-2-a|ammenda da 2740 a 7014,4 euro||||03/12/2013 16:29|
7639.10.1.27071|27071270|270 - 3 -  - AUTORIZZAZIONE|AUTORIZZAZIONE|C|0|1|||||3|L'autorizzazione è rilasciata dai competenti uffici del Ministero del lavoro, della salute e delle politiche sociali sentito il parere dell'Istituto superiore di sanità. Essa ha la durata di 5 anni ed è rinnovabile. L'accertamento del venir meno di una delle condizioni previste per l'autorizzazione ne comporta la revoca.|||||||||||||03/12/2013 16:29|
7639.10.1.27072|27072270|270 - 5 -  - AUTORIZZAZIONE|AUTORIZZAZIONE|C|0|1|||||5|I laboratori che forniscono un servizio diagnostico sono esentati dagli adempimenti di cui al comma 4.|||||||||||||03/12/2013 16:29|
7639.10.1.27073|27073270|270 - 6 -  - AUTORIZZAZIONE|AUTORIZZAZIONE|C|0|1|||||6|Il Ministero del lavoro, della salute e delle politiche sociali comunica all'organo di vigilanza competente per territorio le autorizzazioni concesse e le variazioni sopravvenute nell'utilizzazione di agenti biologici del gruppo 4. Il Ministero del lavoro, della salute e delle politiche sociali istituisce ed aggiorna un elenco di tutti gli agenti biologici del gruppo 4 dei quali è stata comunicata l'utilizzazione sulla base delle previsioni di cui ai commi 1 e 4.|||||||||||||03/12/2013 16:29|
