#CODEVALUEMODEL=CodeValueLaw|CODESYSTEMID=Legge81FattoriRischio|CODESYSTEMNAME=Legge81FattoriRischio|CODESYSTEMDISPLAYNAME=Legge81FattoriRischio|VERSION=0|DESCRIPTION=Legge81FattoriRischio|LANGUAGE=it|AUTHORITYNAME=Insiem Mercato SpA|AUTHORITYDESCRIPTION=Insiem Mercato SpA|AUTHORITYCONTACTINFORMATION=Insiem Mercato SpA|VALIDFROM=31/07/2013 12:00
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|KEYWORDS|EXTENSION[Arresto]|EXTENSION[Classificazione]|EXTENSION[CodiceContravventore]|EXTENSION[Comma]|EXTENSION[Corpo]|EXTENSION[DescrizioneContravventore]|EXTENSION[ImportoMax]|EXTENSION[ImportoMin]|EXTENSION[Lettera]|EXTENSION[NotaContravventore]|EXTENSION[NotaPrescrizione]|EXTENSION[NotaViolazione]|EXTENSION[SanzionatoDa]|EXTENSION[Sanzione]|TRANSLATION[de]|TRANSLATION[en]|TRANSLATION[it]|VALID FROM|VALID TO
7639_V0|-|FattoriRischio|81/08 da Luglio 2013 - d.lgs 81/2008 con modifiche luglio 2013|T|0|1|||||||||||||||||||31/07/2013 12:00|
7639.10_V0|10|Agenti Biologici (titolo X)|Agenti Biologici (titolo X)|S|0|1||||||||||||||||||Agenti Biologici (titolo X)|10/11/2016 13:05|
7639.6_V0|6|Movimentazione manuale dei carichi (titolo VI)|Movimentazione manuale dei carichi (titolo VI)|S|0|1||||||||||||||||||Movimentazione manuale dei carichi (titolo VI)|10/11/2016 13:05|
7639.6.01_V0|01|Movimentazione manuale||C|0|1||||||||||||||||||Movimentazione manuale|22/09/2017 16:23|
7639.6.02_V0|02|Movimenti ripetuti||C|0|1||||||||||||||||||Movimenti ripetuti|22/09/2017 16:23|
7639.7_V0|7|Videoterminali (titolo VII)|Videoterminali (titolo VII)|S|0|1||||||||||||||||||Videoterminali (titolo VII)|10/11/2016 13:05|
7639.8_V0|8|Agenti fisici (titolo VIII)|Agenti fisici (titolo VIII)|S|0|1||||||||||||||||||Agenti fisici (titolo VIII)|10/11/2016 13:05|
7639.8.01_V0|01|Rumore||C|0|1||||||||||||||||||Rumore|22/09/2017 16:26|
7639.8.02_V0|02|Vibrazioni||C|0|1||||||||||||||||||Vibrazioni|22/09/2017 16:26|
7639.8.03_V0|03|Campi Elettromagnetici (Cem)||C|0|1||||||||||||||||||Campi Elettromagnetici (Cem)|22/09/2017 16:28|
7639.8.04_V0|04|Radiazioni Ottiche Artificiali (Roa)||C|0|1||||||||||||||||||Radiazioni Ottiche Artificiali (Roa)|22/09/2017 16:28|
7639.8.05_V0|05|Radiazioni Ottiche Naturali||C|0|1||||||||||||||||||Radiazioni Ottiche Naturali|22/09/2017 16:28|
7639.8.06_V0|06|Radiazioni ionizzanti||C|0|1||||||||||||||||||Radiazioni ionizzanti|22/09/2017 16:29|
