#CODEVALUEMODEL=CodeValueStatus|CODESYSTEMID=status|CODESYSTEMNAME=STATUS|CODESYSTEMDISPLAYNAME=StatusCodes|VERSION=0|DESCRIPTION=Status Codes|LANGUAGE=it|AUTHORITYNAME=Insiel Mercato SpA|AUTHORITYDESCRIPTION=Insiel Mercato SpA|AUTHORITYCONTACTINFORMATION=info@insielmercato.it|VALIDFROM=09/10/2015 13:45
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|KEYWORDS|TRANSLATION[de]|TRANSLATION[en]|TRANSLATION[it]|VALID FROM|VALID TO
generic_V0|-|GENERIC||T|0|1|||||09/10/2015 13:50|
generic.active_V0|active|active|The Act can be performed or is being performed|C|0|1||In Bearbeitung||selezionabile|02/09/2009 17:25|
generic.cancelled_V0|cancelled|cancelled|The Act has been declared as not active|C|0|1||Annulliert||eliminata|19/03/2013 17:39|
generic.completed_V0|completed|completed|An Act that has terminated normally after all of its constituents have been performed.|C|0|1||Abgeschlossen||assegnata|02/09/2009 17:25|
generic.held_V0|held|held|An Act that is still in the preparatory stages has been put aside.  No action can occur until the Act is released.|C|0|1|||held|ammissibile|02/09/2009 17:25|
generic.new_V0|new|new|An Act that is in the preparatory stages and may not yet be acted upon|C|0|1||Neu||nuova|02/09/2009 17:25|
generic.nullified_V0|nullified|nullified|This Act instance was created in error and has been 'removed' and is treated as though it never existed.  A record is retained for audit purposes only.|C|0|1||||non ammissibile|02/09/2009 17:25|
generic.obsolete_V0|obsolete|obsolete|This Act instance has been replaced by a new instance.|C|0|1||Obsolet||archiviata|02/09/2009 17:25|
generic.suspended_V0|suspended|suspended|An Act that has been activated (actions could or have been performed against it), buthas been temporarily disabled.  No further action should be taken against it until it is released|C|0|1||Ausgesetzt||sospesa|02/09/2009 17:25|
generic.terminated_V0|terminated|terminated||C|0|1||||non selezionabile|10/12/2013 09:41|
generic.verified_V0|verified|verified||C|0|1||||Verificata|26/01/2018 09:18|
