#CODEVALUEMODEL=CodeValueParameter|CODESYSTEMID=p|CODESYSTEMNAME=ApplicationParameters|CODESYSTEMDISPLAYNAME=ApplicationParameters|VERSION=0|DESCRIPTION=Application Parameters|LANGUAGE=it|AUTHORITYNAME=Insiel Mercato|AUTHORITYDESCRIPTION=Insiel Mercato SpA|AUTHORITYCONTACTINFORMATION=info@insielmercato.it|VALIDFROM=08/03/2016 11:51
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|KEYWORDS|EXTENSION[DataType]|EXTENSION[Host]|EXTENSION[Location]|EXTENSION[ReadOnly]|EXTENSION[Required]|EXTENSION[Role]|EXTENSION[Username]|EXTENSION[Value]|EXTENSION[Visible]|EXTENSION[currentValue]|TRANSLATION[de]|TRANSLATION[en]|TRANSLATION[it]|VALID FROM|VALID TO
admin|-|admin|admin|T|0|1|||||||||||||||03/06/2019 08:54|
admin.carichi_lavoro|carichi_lavoro|admin.carichi_lavoro|carichi_lavoro|S|0|1|||||||||||||||03/06/2019 08:54|
admin.carichi_lavoro.costi|-|admin.carichi_lavoro.costi|costi|A|0|1|||||true|||||false|||||03/06/2019 00:00|
admin.carichi_lavoro.costi.Admin|Admin|Admin||C|0|1|||||false||role.emp.admin_V0|||true|||||03/06/2019 00:00|
admin.carichi_lavoro.monteOre|-|admin.carichi_lavoro.monteOre|monteOre|A|0|1|||||true|||||false|||||03/06/2019 00:00|
admin.carichi_lavoro.monteOre.Admin|Admin|Admin||C|0|1|||||false||role.emp.admin_V0|||true|||||03/06/2019 00:00|
admin.carichi_lavoro.oreEquivalenti|-|admin.carichi_lavoro.oreEquivalenti|oreEquivalenti|A|0|1|||||true|||||false|||||03/06/2019 00:00|
admin.carichi_lavoro.oreEquivalenti.Admin|Admin|Admin||C|0|1|||||false||role.emp.admin_V0|||true|||||03/06/2019 00:00|
admin.carichi_lavoro.pianificazioni|-|admin.carichi_lavoro.pianificazioni|pianificazioni|A|0|1|||||true|||||false|||||06/06/2019 00:00|
admin.carichi_lavoro.pianificazioni.Admin|Admin|Admin||C|0|1|||||false||role.emp.admin_V0|||true|||||06/06/2019 00:00|
admin.carichi_lavoro.progetti|-|admin.carichi_lavoro.progetti|progetti|A|0|1|||||true|||||false|||||04/06/2019 00:00|
admin.carichi_lavoro.progetti.Admin|Admin|Admin||C|0|1|||||false||role.emp.admin_V0|||true|||||04/06/2019 00:00|
anagrafiche|-|anagrafiche|anagrafiche|T|0|1|||||||||||||||19/06/2018 13:41|
anagrafiche.addebitiSearch|addebitiSearch|anagrafiche.addebitiSearch|addebitiSearch|S|0|1|||||||||||||||19/06/2018 13:42|
anagrafiche.addebitiSearch.createdBy|-|anagrafiche.addebitiSearch.createdBy|createdBy|A|0|1||||||||||false|||||19/06/2018 00:00|
anagrafiche.addebitiSearch.createdBy.Admin|Admin|Admin||C|0|1|||||false|false|role.emp.adminarpav|||true|||||19/06/2018 00:00|
anagrafiche.verificheSearch|verificheSearch|anagrafiche.verificheSearch|verificheSearch|S|0|1|||||||||||||||19/06/2018 13:43|
anagrafiche.verificheSearch.createdBy|-|anagrafiche.verificheSearch.createdBy|createdBy|A|0|1||||||||||false|||||19/06/2018 00:00|
anagrafiche.verificheSearch.createdBy.Admin|Admin|Admin||C|0|1|||||||role.emp.adminarpav|||true|||||19/06/2018 00:00|
company|-|company|company|T|0|1|||||||||||||||11/12/2017 09:36|
company.create_impianto|create_impianto|company.create_impianto|create_impianto|S|0|1|||||||||||||||11/12/2017 11:10|
company.create_impianto.eliminaVerifica|-|company.create_impianto.eliminaVerifica|eliminaVerifica|A|0|1|||||true|false||||true|||||11/12/2017 00:00|
company.create_impianto.eliminaVerifica.Admin|Admin|Admin||C|0|1|||||false|false|role.emp.adminarpav|||true|||||11/12/2017 00:00|
company.create_impianto.eliminaVerifica.Operatore|Operatore|Operatore||C|0|1|||||false|false||||true|||||12/01/2018 00:00|
company.scheda_verifiche_01|scheda_verifiche_01|company.scheda_verifiche_01|scheda_verifiche_01|S|0|1|||||||||||||||11/12/2017 09:36|
