#CODEVALUEMODEL=CodeValueAteco|CODESYSTEMID=ATECO|CODESYSTEMNAME=ATECO|CODESYSTEMDISPLAYNAME=ATECO|VERSION=0|DESCRIPTION=ATECO|LANGUAGE=it|AUTHORITYNAME=ITAL-TBS S.P.A.|AUTHORITYDESCRIPTION=ITAL-TBS S.P.A.|AUTHORITYCONTACTINFORMATION=info@italtbs.com|VALIDFROM=01/01/2007 00:00|||||||
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|KEYWORDS|EXTENSION[Abbreviation]|EXTENSION[Enable annotation]|EXTENSION[Score]|TRANSLATION[de]|TRANSLATION[en]|TRANSLATION[it]|RELATION[CodeValueCity]|RELATION[CodeValuePhi]|VALID FROM|VALID TO
A_V0|A|A|AGRICOLTURA, SILVICOLTURA E PESCA|T|0|1|||||||AGRICOLTURA, SILVICOLTURA E PESCA|||01/01/2007 00:00|
A.01_V0|01|01|COLTIVAZIONI AGRICOLE E PRODUZIONE DI PRODOTTI ANIMALI, CACCIA E SERVIZI CONNESSI|S|0|1|AGRICOLTURA||||||COLTIVAZIONI AGRICOLE E PRODUZIONE DI PRODOTTI ANIMALI, CACCIA E SERVIZI CONNESSI|||01/01/2007 00:00|
A.01.1_V0|01.1|01.1|COLTIVAZIONE DI COLTURE AGRICOLE NON PERMANENTI|S|0|1|AGRICOLTURA||||||COLTIVAZIONE DI COLTURE AGRICOLE NON PERMANENTI|||01/01/2007 00:00|
A.01.1.1_V0|01.11|01.11|Coltivazione di cereali (escluso il riso), legumi da granella e semi oleosi|S|0|1|AGRICOLTURA||||||Coltivazione di cereali (escluso il riso), legumi da granella e semi oleosi|||01/01/2007 00:00|
A.01.1.1.1_V0|01.11.1|01.11.1|Coltivazione di cereali (escluso il riso)|S|0|1|AGRICOLTURA||||||Coltivazione di cereali (escluso il riso)|||01/01/2007 00:00|
A.01.1.1.1.0_V0|01.11.10|01.11.10|Coltivazione di cereali (escluso il riso)|C|0|1|AGRICOLTURA||||||Coltivazione di cereali (escluso il riso)|||01/01/2007 00:00|
A.01.1.1.2_V0|01.11.2|01.11.2|Coltivazione di semi oleosi|S|0|1|AGRICOLTURA||||||Coltivazione di semi oleosi|||01/01/2007 00:00|
A.01.1.1.2.0_V0|01.11.20|01.11.20|Coltivazione di semi oleosi|C|0|1|AGRICOLTURA||||||Coltivazione di semi oleosi|||01/01/2007 00:00|
A.01.1.1.3_V0|01.11.3|01.11.3|Coltivazione di legumi da granella|S|0|1|AGRICOLTURA||||||Coltivazione di legumi da granella|||01/01/2007 00:00|
A.01.1.1.3.0_V0|01.11.30|01.11.30|Coltivazione di legumi da granella|C|0|1|AGRICOLTURA||||||Coltivazione di legumi da granella|||01/01/2007 00:00|
A.01.1.1.4_V0|01.11.4|01.11.4|Coltivazioni miste di cereali, legumi da granella e semi oleosi|S|0|1|AGRICOLTURA||||||Coltivazioni miste di cereali, legumi da granella e semi oleosi|||01/01/2007 00:00|
A.01.1.1.4.0_V0|01.11.40|01.11.40|Coltivazioni miste di cereali, legumi da granella e semi oleosi|C|0|1|AGRICOLTURA||||||Coltivazioni miste di cereali, legumi da granella e semi oleosi|||01/01/2007 00:00|
A.01.1.2_V0|01.12|01.12|Coltivazione di riso|S|0|1|AGRICOLTURA||||||Coltivazione di riso|||01/01/2007 00:00|
A.01.1.2.0_V0|01.12.0|01.12.0|Coltivazione di riso|S|0|1|AGRICOLTURA||||||Coltivazione di riso|||01/01/2007 00:00|
A.01.1.2.0.0_V0|01.12.00|01.12.00|Coltivazione di riso|C|0|1|AGRICOLTURA||||||Coltivazione di riso|||01/01/2007 00:00|
A.01.1.3_V0|01.13|01.13|Coltivazione di ortaggi e meloni, radici e tuberi|S|0|1|AGRICOLTURA||||||Coltivazione di ortaggi e meloni, radici e tuberi|||01/01/2007 00:00|
A.01.1.3.1_V0|01.13.1|01.13.1|Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in piena aria (escluse barbabietola da zucchero e patate)|S|0|1|AGRICOLTURA||||||Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in piena aria (escluse barbabietola da zucchero e patate)|||01/01/2007 00:00|
A.01.1.3.1.0_V0|01.13.10|01.13.10|Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in piena aria (escluse barbabietola da zucchero e patate)|C|0|1|AGRICOLTURA||||||Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in piena aria (escluse barbabietola da zucchero e patate)|||01/01/2007 00:00|
A.01.1.3.2_V0|01.13.2|01.13.2|Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in colture protette (escluse barbabietola da zucchero e patate)|S|0|1|AGRICOLTURA||||||Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in colture protette (escluse barbabietola da zucchero e patate)|||01/01/2007 00:00|
A.01.1.3.2.0_V0|01.13.20|01.13.20|Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in colture protette (escluse barbabietola da zucchero e patate)|C|0|1|AGRICOLTURA||||||Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in colture protette (escluse barbabietola da zucchero e patate)|||01/01/2007 00:00|
A.01.1.3.3_V0|01.13.3|01.13.3|Coltivazione di barbabietola da zucchero|S|0|1|AGRICOLTURA||||||Coltivazione di barbabietola da zucchero|||01/01/2007 00:00|
A.01.1.3.3.0_V0|01.13.30|01.13.30|Coltivazione di barbabietola da zucchero|C|0|1|AGRICOLTURA||||||Coltivazione di barbabietola da zucchero|||01/01/2007 00:00|
A.01.1.3.4_V0|01.13.4|01.13.4|Coltivazione di patate|S|0|1|AGRICOLTURA||||||Coltivazione di patate|||01/01/2007 00:00|
A.01.1.3.4.0_V0|01.13.40|01.13.40|Coltivazione di patate|C|0|1|AGRICOLTURA||||||Coltivazione di patate|||01/01/2007 00:00|
A.01.1.4_V0|01.14|01.14|Coltivazione di canna da zucchero|S|0|1|AGRICOLTURA||||||Coltivazione di canna da zucchero|||01/01/2007 00:00|
A.01.1.4.0_V0|01.14.0|01.14.0|Coltivazione di canna da zucchero|S|0|1|AGRICOLTURA||||||Coltivazione di canna da zucchero|||01/01/2007 00:00|
A.01.1.4.0.0_V0|01.14.00|01.14.00|Coltivazione di canna da zucchero|C|0|1|AGRICOLTURA||||||Coltivazione di canna da zucchero|||01/01/2007 00:00|
A.01.1.5_V0|01.15|01.15|Coltivazione di tabacco|S|0|1|AGRICOLTURA||||||Coltivazione di tabacco|||01/01/2007 00:00|
A.01.1.5.0_V0|01.15.0|01.15.0|Coltivazione di tabacco|S|0|1|AGRICOLTURA||||||Coltivazione di tabacco|||01/01/2007 00:00|
A.01.1.5.0.0_V0|01.15.00|01.15.00|Coltivazione di tabacco|C|0|1|AGRICOLTURA||||||Coltivazione di tabacco|||01/01/2007 00:00|
A.01.1.6_V0|01.16|01.16|Coltivazione di piante tessili|S|0|1|AGRICOLTURA||||||Coltivazione di piante tessili|||01/01/2007 00:00|
A.01.1.6.0_V0|01.16.0|01.16.0|Coltivazione di piante per la preparazione di fibre tessili|S|0|1|AGRICOLTURA||||||Coltivazione di piante per la preparazione di fibre tessili|||01/01/2007 00:00|
A.01.1.6.0.0_V0|01.16.00|01.16.00|Coltivazione di piante per la preparazione di fibre tessili|C|0|1|AGRICOLTURA||||||Coltivazione di piante per la preparazione di fibre tessili|||01/01/2007 00:00|
A.01.1.9_V0|01.19|01.19|Floricoltura e coltivazione di altre colture non permanenti|S|0|1|AGRICOLTURA||||||Floricoltura e coltivazione di altre colture non permanenti|||01/01/2007 00:00|
A.01.1.9.1_V0|01.19.1|01.19.1|Coltivazione di fiori in piena aria|S|0|1|AGRICOLTURA||||||Coltivazione di fiori in piena aria|||01/01/2007 00:00|
A.01.1.9.1.0_V0|01.19.10|01.19.10|Coltivazione di fiori in piena aria|C|0|1|AGRICOLTURA||||||Coltivazione di fiori in piena aria|||01/01/2007 00:00|
A.01.1.9.2_V0|01.19.2|01.19.2|Coltivazione di fiori in colture protette|S|0|1|AGRICOLTURA||||||Coltivazione di fiori in colture protette|||01/01/2007 00:00|
A.01.1.9.2.0_V0|01.19.20|01.19.20|Coltivazione di fiori in colture protette|C|0|1|AGRICOLTURA||||||Coltivazione di fiori in colture protette|||01/01/2007 00:00|
A.01.1.9.9_V0|01.19.9|01.19.9|Coltivazione di piante da foraggio e di altre colture non permanenti|S|0|1|AGRICOLTURA||||||Coltivazione di piante da foraggio e di altre colture non permanenti|||01/01/2007 00:00|
A.01.1.9.9.0_V0|01.19.90|01.19.90|Coltivazione di piante da foraggio e di altre colture non permanenti|C|0|1|AGRICOLTURA||||||Coltivazione di piante da foraggio e di altre colture non permanenti|||01/01/2007 00:00|
A.01.2_V0|01.2|01.2|COLTIVAZIONE DI COLTURE PERMANENTI|S|0|1|AGRICOLTURA||||||COLTIVAZIONE DI COLTURE PERMANENTI|||01/01/2007 00:00|
A.01.2.1_V0|01.21|01.21|Coltivazione di uva|S|0|1|AGRICOLTURA||||||Coltivazione di uva|||01/01/2007 00:00|
A.01.2.1.0_V0|01.21.0|01.21.0|Coltivazione di uva|S|0|1|AGRICOLTURA||||||Coltivazione di uva|||01/01/2007 00:00|
A.01.2.1.0.0_V0|01.21.00|01.21.00|Coltivazione di uva|C|0|1|AGRICOLTURA||||||Coltivazione di uva|||01/01/2007 00:00|
A.01.2.2_V0|01.22|01.22|Coltivazione di frutta di origine tropicale e subtropicale|S|0|1|AGRICOLTURA||||||Coltivazione di frutta di origine tropicale e subtropicale|||01/01/2007 00:00|
A.01.2.2.0_V0|01.22.0|01.22.0|Coltivazione di frutta di origine tropicale e subtropicale|S|0|1|AGRICOLTURA||||||Coltivazione di frutta di origine tropicale e subtropicale|||01/01/2007 00:00|
A.01.2.2.0.0_V0|01.22.00|01.22.00|Coltivazione di frutta di origine tropicale e subtropicale|C|0|1|AGRICOLTURA||||||Coltivazione di frutta di origine tropicale e subtropicale|||01/01/2007 00:00|
A.01.2.3_V0|01.23|01.23|Coltivazione di agrumi|S|0|1|AGRICOLTURA||||||Coltivazione di agrumi|||01/01/2007 00:00|
A.01.2.3.0_V0|01.23.0|01.23.0|Coltivazione di agrumi|S|0|1|AGRICOLTURA||||||Coltivazione di agrumi|||01/01/2007 00:00|
A.01.2.3.0.0_V0|01.23.00|01.23.00|Coltivazione di agrumi|C|0|1|AGRICOLTURA||||||Coltivazione di agrumi|||01/01/2007 00:00|
A.01.2.4_V0|01.24|01.24|Coltivazione di pomacee e frutta a nocciolo|S|0|1|AGRICOLTURA||||||Coltivazione di pomacee e frutta a nocciolo|||01/01/2007 00:00|
A.01.2.4.0_V0|01.24.0|01.24.0|Coltivazione di pomacee e frutta a nocciolo|S|0|1|AGRICOLTURA||||||Coltivazione di pomacee e frutta a nocciolo|||01/01/2007 00:00|
A.01.2.4.0.0_V0|01.24.00|01.24.00|Coltivazione di pomacee e frutta a nocciolo|C|0|1|AGRICOLTURA||||||Coltivazione di pomacee e frutta a nocciolo|||01/01/2007 00:00|
A.01.2.5_V0|01.25|01.25|Coltivazione di altri alberi da frutta, frutti di bosco e in guscio|S|0|1|AGRICOLTURA||||||Coltivazione di altri alberi da frutta, frutti di bosco e in guscio|||01/01/2007 00:00|
A.01.2.5.0_V0|01.25.0|01.25.0|Coltivazione di altri alberi da frutta, frutti di bosco e frutta in guscio|S|0|1|AGRICOLTURA||||||Coltivazione di altri alberi da frutta, frutti di bosco e frutta in guscio|||01/01/2007 00:00|
A.01.2.5.0.0_V0|01.25.00|01.25.00|Coltivazione di altri alberi da frutta, frutti di bosco e frutta in guscio|C|0|1|AGRICOLTURA||||||Coltivazione di altri alberi da frutta, frutti di bosco e frutta in guscio|||01/01/2007 00:00|
A.01.2.6_V0|01.26|01.26|Coltivazione di frutti oleosi|S|0|1|AGRICOLTURA||||||Coltivazione di frutti oleosi|||01/01/2007 00:00|
A.01.2.6.0_V0|01.26.0|01.26.0|Coltivazione di frutti oleosi|S|0|1|AGRICOLTURA||||||Coltivazione di frutti oleosi|||01/01/2007 00:00|
A.01.2.6.0.0_V0|01.26.00|01.26.00|Coltivazione di frutti oleosi|C|0|1|AGRICOLTURA||||||Coltivazione di frutti oleosi|||01/01/2007 00:00|
A.01.2.7_V0|01.27|01.27|Coltivazione di piante per la produzione di bevande|S|0|1|AGRICOLTURA||||||Coltivazione di piante per la produzione di bevande|||01/01/2007 00:00|
A.01.2.7.0_V0|01.27.0|01.27.0|Coltivazione di piante per la produzione di bevande|S|0|1|AGRICOLTURA||||||Coltivazione di piante per la produzione di bevande|||01/01/2007 00:00|
A.01.2.7.0.0_V0|01.27.00|01.27.00|Coltivazione di piante per la produzione di bevande|C|0|1|AGRICOLTURA||||||Coltivazione di piante per la produzione di bevande|||01/01/2007 00:00|
A.01.2.8_V0|01.28|01.28|Coltivazione di spezie, piante aromatiche e farmaceutiche|S|0|1|AGRICOLTURA||||||Coltivazione di spezie, piante aromatiche e farmaceutiche|||01/01/2007 00:00|
A.01.2.8.0_V0|01.28.0|01.28.0|Coltivazione di spezie, piante aromatiche e farmaceutiche|S|0|1|AGRICOLTURA||||||Coltivazione di spezie, piante aromatiche e farmaceutiche|||01/01/2007 00:00|
A.01.2.8.0.0_V0|01.28.00|01.28.00|Coltivazione di spezie, piante aromatiche e farmaceutiche|C|0|1|AGRICOLTURA||||||Coltivazione di spezie, piante aromatiche e farmaceutiche|||01/01/2007 00:00|
A.01.2.9_V0|01.29|01.29|Coltivazione di altre colture permanenti (inclusi alberi di Natale)|S|0|1|AGRICOLTURA||||||Coltivazione di altre colture permanenti (inclusi alberi di Natale)|||01/01/2007 00:00|
A.01.2.9.0_V0|01.29.0|01.29.0|Coltivazione di altre colture permanenti (inclusi alberi di Natale)|S|0|1|AGRICOLTURA||||||Coltivazione di altre colture permanenti (inclusi alberi di Natale)|||01/01/2007 00:00|
A.01.2.9.0.0_V0|01.29.00|01.29.00|Coltivazione di altre colture permanenti (inclusi alberi di Natale)|C|0|1|AGRICOLTURA||||||Coltivazione di altre colture permanenti (inclusi alberi di Natale)|||01/01/2007 00:00|
A.01.3_V0|01.3|01.3|RIPRODUZIONE DELLE PIANTE|S|0|1|AGRICOLTURA||||||RIPRODUZIONE DELLE PIANTE|||01/01/2007 00:00|
