#CODEVALUEMODEL=CodeValuePhi|CODESYSTEMID=phidic|CODESYSTEMNAME=PHIDIC|CODESYSTEMDISPLAYNAME=PHI DICTIONARY|VERSION=0|DESCRIPTION=Main CodeSystem|LANGUAGE=it|AUTHORITYNAME=Insiel Mercato SpA|AUTHORITYDESCRIPTION=Insiel Mercato SpA|AUTHORITYCONTACTINFORMATION=info@insielmercato.it
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|KEYWORDS|EXTENSION[Abbreviation]|EXTENSION[Enable annotation]|EXTENSION[Score]|TRANSLATION[de]|TRANSLATION[en]|TRANSLATION[it]|RELATION[CodeValueCity]|RELATION[CodeValueIcd9]|RELATION[CodeValuePhi]|VALID FROM|VALID TO
spisal.pratiche.prodfinito_V0|TPP|TipologiaProdottoFinito||S|0|1|||||||Tipologia prodotto finito||||01/08/2016 14:46|
spisal.pratiche.prodfinito.alert_V0|alert|Alert||C|0|1|||||||Alert||||01/08/2016 14:48|
spisal.pratiche.prodfinito.arts_V0|arts|ArticoloScientifico||C|0|1|||||||Articolo scientifico||||01/08/2016 14:49|
spisal.pratiche.prodfinito.evinf_V0|evinf|EventoInformativo||C|0|1|||||||EventoInformativo||||01/08/2016 14:50|
spisal.pratiche.prodfinito.manuale_V0|manuale|Manuale||C|0|1|||||||Manuale||||01/08/2016 14:49|
spisal.pratiche.prodfinito.nota_V0|ninf|NotaInformativa||C|0|1|||||||Nota informativa||||01/08/2016 14:47|
spisal.pratiche.prodfinito.opp_V0|opp|OpuscoloPieghevole||C|0|1|||||||Opuscolo pieghevole||||01/08/2016 14:48|
spisal.pratiche.prodfinito.opuscolo_V0|op|Opuscolo||C|0|1|||||||Opuscolo||||01/08/2016 14:47|
spisal.pratiche.prodfinito.relrap_V0|relrap|RelazioneRapporto||C|0|1|||||||Relazione - rapporto||||01/08/2016 14:49|
spisal.pratiche.prodfinito.rend_V0|rend|Rendicontazione||C|0|1|||||||Rendicontazione||||01/08/2016 14:50|
spisal.pratiche.titolario_V0|-|titolario||A|0|1|||||||||||28/07/2016 17:48|
spisal.pratiche.titolario.0_V0|Articolo1|Articolo 1 - Finalità||C|0|1|||||||Articolo 1 - Finalità||||28/07/2016 17:38|
spisal.pratiche.titolario.100_V0|Articolo100|Articolo 100 - Piano di sicurezza e di coordinamento||C|100|1|||||||Articolo 100 - Piano di sicurezza e di coordinamento||||28/07/2016 17:38|
