#CODEVALUEMODEL=CodeValuePhi|CODESYSTEMID=phidic|CODESYSTEMNAME=PHIDIC|CODESYSTEMDISPLAYNAME=PHI DICTIONARY|VERSION=0|DESCRIPTION=Main CodeSystem|LANGUAGE=it|AUTHORITYNAME=Insiel Mercato SpA|AUTHORITYDESCRIPTION=Insiel Mercato SpA|AUTHORITYCONTACTINFORMATION=info@insielmercato.it
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|KEYWORDS|EXTENSION[Abbreviation]|EXTENSION[Enable annotation]|EXTENSION[Score]|TRANSLATION[de]|TRANSLATION[en]|TRANSLATION[it]|RELATION[CodeValueCity]|RELATION[CodeValueIcd9]|RELATION[CodeValuePhi]|VALID FROM|VALID TO
spisal.segnalazioni.complextype_V0|complexType|ComplexType|ComplexType|S|0|1|||||||||||17/10/2016 15:46|
spisal.segnalazioni.complextype.1|1|01 Infortunio sul lavoro|1 Infortunio sul lavoro: certificato/referto/segnalazione (ex art. 53 del DPR 1124/65 o ex art. 365 c.p.), segnalazione da SUEM|C|0|1||||180||||||phidic.spisal.pratiche.type.workaccident_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.10|10|10 Richiesta assistenza prova|10 Richiesta assistenza (risposta a quesito, richiesta informazione)|C|0|1||||30||||||phidic.spisal.pratiche.type.information_V0|17/10/2016 00:00|
spisal.segnalazioni.complextype.11|11|11 Richiesta di accesso agli atti|11 Richiesta di accesso agli atti|C|0|1||||30||||||phidic.spisal.pratiche.type.generic_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.12|12|12 Interventi d'iniziativa autonoma del servizio|12 Interventi d'iniziativa autonoma del servizio|S|0|1|||||||||||17/10/2016 15:46|
spisal.segnalazioni.complextype.12.1|12.1|12.01 Vigilanza - Indagine comparto|12.1 Vigilanza - Indagine comparto|C|0|1||||180||||||phidic.spisal.pratiche.type.supervision_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.12.2|12.2|12.02 Vigilanza su progetto|12.2 Vigilanza su progetto|C|0|1||||180||||||phidic.spisal.pratiche.type.supervision_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.12.3|12.3|12.03 Vigilanza a seguito infortunio|12.3 Vigilanza a seguito infortunio|C|0|1||||180||||||phidic.spisal.pratiche.type.supervision_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.12.4|12.4|12.04 Vigilanza a seguito M.P|12.4 Vigilanza a seguito M.P|C|0|1||||180||||||phidic.spisal.pratiche.type.supervision_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.12.5|12.5|12.05 Iniziativa di informazione|12.5 Iniziativa di informazione|C|0|1||||180||||||phidic.spisal.pratiche.type.information_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.12.6|12.6|12.06 Iniziativa di formazione|12.6 Iniziativa di formazione|C|0|1||||180||||||phidic.spisal.pratiche.type.training_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.12.7|12.7|12.07 Iniziativa di promozione della salute|12.7 Iniziativa di promozione della salute|C|0|1||||180||||||phidic.spisal.pratiche.type.lifestyle_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.13_V0|13|13 Altre comunicazioni obbligatorie|13 Altre comunicazioni obbligatorie:|S|0|1|||||||||||17/10/2016 15:46|
spisal.segnalazioni.complextype.13.1|13.1|13.01 Notifica NIP ex art 67 DLgs 81/08|13.1 Notifica NIP ex art 67 DLgs 81/08|C|0|1||||30||||||phidic.spisal.pratiche.type.technicaladvice_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.13.2|13.2|13.02 Notifica ex art. 40 all. 3b|13.2 Notifica ex art. 40 all. 3b|C|0|1||||||||||phidic.spisal.pratiche.type.generic_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.13.3|13.3|13.03 Relazione annuale imprese di bonifica amianto ex art. 9 L. 257/92|13.3 Relazione annuale imprese di bonifica amianto ex art. 9 L. 257/92|C|0|1||||||||||phidic.spisal.pratiche.type.generic_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.13.4|13.4|13.04 Comunicazione del proprietario su possesso materiale in amianto friabile (art. 12 co.  5 L. 257/92)|13.4 Comunicazione del proprietario su possesso materiale in amianto friabile (art. 12 co.  5 L. 257/92)|C|0|1||||||||||phidic.spisal.pratiche.type.generic_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.13.5|13.5|13.05 Registri lavoratori esposti ad agenti cancerogeni/mutageni (art. 243 DLgs 81/08)|13.5 Registri lavoratori esposti ad agenti cancerogeni/mutageni (art. 243 DLgs 81/08)|C|0|1||||||||||phidic.spisal.pratiche.type.generic_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.13.6|13.6|13.06 Registri lavoratori esposti ad asbesto (art. 260 co. 1 DLgs 81/08)|13.6 Registri lavoratori esposti ad asbesto (art. 260 co. 1 DLgs 81/08)|C|0|1||||||||||phidic.spisal.pratiche.type.generic_V0|17/10/2016 15:46|
spisal.segnalazioni.complextype.13.7|13.7|13.07 Registri lavoratori esposti ad agenti biologici del gruppo 3 e 4 (art. 280 co. 3 DLgs 81/08)|13.7 Registri lavoratori esposti ad agenti biologici del gruppo 3 e 4 (art. 280 co. 3 DLgs 81/08)|C|0|1||||||||||phidic.spisal.pratiche.type.generic_V0|17/10/2016 15:46|
