#CODEVALUEMODEL=CodeValueLaw|CODESYSTEMID=LeggiPEM|CODESYSTEMNAME=LeggiPEM|CODESYSTEMDISPLAYNAME=LeggiPEM|VERSION=0|DESCRIPTION=Leggi Provvedimenti e miglioramenti|LANGUAGE=it|AUTHORITYNAME=Insiem Mercato SpA|AUTHORITYDESCRIPTION=Insiem Mercato SpA|AUTHORITYCONTACTINFORMATION=Insiem Mercato SpA|VALIDFROM=03/12/2013 16:29
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|KEYWORDS|EXTENSION[Arresto]|EXTENSION[Classificazione]|EXTENSION[CodiceContravventore]|EXTENSION[Comma]|EXTENSION[Corpo]|EXTENSION[DescrizioneContravventore]|EXTENSION[ImportoMax]|EXTENSION[ImportoMin]|EXTENSION[Lettera]|EXTENSION[NotaContravventore]|EXTENSION[NotaPrescrizione]|EXTENSION[NotaViolazione]|EXTENSION[SanzionatoDa]|EXTENSION[Sanzione]|TRANSLATION[de]|TRANSLATION[en]|TRANSLATION[it]|VALID FROM|VALID TO
7610_V0|164|164/56|164/56 - dpr n 164 del 7/1/1956: prevenzione|S|0|1|||||||||||||||||||01/01/1956 12:00|
7610.20840_V0|2084010|10 - 1 -  - DPR n 164 del 7/1/1956 : PREVENZIONE / lavoratori|DPR n 164 del 7/1/1956 : PREVENZIONE Contravventori: lavoratori|C|0|1||fino 15 giorni||L|1||Lavoratori|413,166|103,291||||||103||||03/12/2013 16:29|
7610.20841_V0|2084110|10 -  -  - DPR n 164 del 7/1/1956 : PREVENZIONE / datori di lavoro e dirigenti|DPR n 164 del 7/1/1956 : PREVENZIONE Contravventori: datori di lavoro e dirigenti|C|0|1||2-4 mesi||DD|||Datori di lavoro e dirigenti|2582,284|516,457||||||645||||03/12/2013 16:29|
7610.20842_V0|2084210|10 -  -  - DPR n 164 del 7/1/1956 : PREVENZIONE / preposti|DPR n 164 del 7/1/1956 : PREVENZIONE Contravventori: preposti|C|0|1||fino a 1 mese||P|||Preposti|516,457|154,937||||||129||||03/12/2013 16:29|
7610.20843_V0|2084311|11 -  -  - DPR n 164 del 7/1/1956 : PREVENZIONE / datori di lavoro e dirigenti|DPR n 164 del 7/1/1956 : PREVENZIONE Contravventori: datori di lavoro e dirigenti|C|0|1||2-4 mesi||DD|||Datori di lavoro e dirigenti|2582,284|516,457||||||645||||03/12/2013 16:29|
7610.20844_V0|2084412|12 - 2 -  - DPR n 164 del 7/1/1956 : PREVENZIONE / datori di lavoro e dirigenti|DPR n 164 del 7/1/1956 : PREVENZIONE Contravventori: datori di lavoro e dirigenti|C|0|1||3-6mesi||DD|2||Datori di lavoro e dirigenti|4131,655|1549,371||||||1032||||03/12/2013 16:29|
7610.20845_V0|2084512|12 - 3 -  - DPR n 164 del 7/1/1956 : PREVENZIONE / preposti|DPR n 164 del 7/1/1956 : PREVENZIONE Contravventori: preposti|C|0|1||fino 1 mese||P|3||Preposti|516,457|154,937||||||129||||03/12/2013 16:29|
7610.20846_V0|2084612|12 - 4 -  - DPR n 164 del 7/1/1956 : PREVENZIONE / datori di lavoro e dirigenti|DPR n 164 del 7/1/1956 : PREVENZIONE Contravventori: datori di lavoro e dirigenti|C|0|1||3-6mesi||DD|4||Datori di lavoro e dirigenti|4131,655|1549,371||||||1032||||03/12/2013 16:29|
7610.20847_V0|2084712|12 - 5 -  - DPR n 164 del 7/1/1956 : PREVENZIONE / preposti|DPR n 164 del 7/1/1956 : PREVENZIONE Contravventori: preposti|C|0|1||fino 1 mese||P|5||Preposti|516,457|154,937||||||129||||03/12/2013 16:29|
7610.20848_V0|2084812|12 -  -  - DPR n 164 del 7/1/1956 : PREVENZIONE / datori di lavoro e dirigenti|DPR n 164 del 7/1/1956 : PREVENZIONE Contravventori: datori di lavoro e dirigenti|C|0|1||3-6 mesi||DD|||Datori di lavoro e dirigenti|4131,655|1549,371||||||1032||||03/12/2013 16:29|
7610.20849_V0|2084913|13 -  -  - DPR n 164 del 7/1/1956 : PREVENZIONE / datori di lavoro e dirigenti|DPR n 164 del 7/1/1956 : PREVENZIONE Contravventori: datori di lavoro e dirigenti|C|0|1||2-4 mesi||DD|||Datori di lavoro e dirigenti|2582,284|516,457||||||645||||03/12/2013 16:29|
7610.20850_V0|2085014|14 -  -  - DPR n 164 del 7/1/1956 : PREVENZIONE / datori di lavoro e dirigenti|DPR n 164 del 7/1/1956 : PREVENZIONE Contravventori: datori di lavoro e dirigenti|C|0|1||fino a 3 mesi||DD|||Datori di lavoro e dirigenti|1032,914|258,228||||||258||||03/12/2013 16:29|
7610.20851_V0|2085115|15 -  -  - DPR n 164 del 7/1/1956 : PREVENZIONE / datori di lavoro e dirigenti|DPR n 164 del 7/1/1956 : PREVENZIONE Contravventori: datori di lavoro e dirigenti|C|0|1||3-6 mesi||DD|||Datori di lavoro e dirigenti|4131,655|1549,371||||||1032||||03/12/2013 16:29|
7610.20852_V0|2085215|15 -  -  - DPR n 164 del 7/1/1956 : PREVENZIONE / preposti|DPR n 164 del 7/1/1956 : PREVENZIONE Contravventori: preposti|C|0|1||fino a 2 mesi||P|||Preposti|1032,914|258,228||||||258||||03/12/2013 16:29|
7610.20853_V0|2085316|16 -  -  - DPR n 164 del 7/1/1956 : PREVENZIONE / datori di lavoro e dirigenti|DPR n 164 del 7/1/1956 : PREVENZIONE Contravventori: datori di lavoro e dirigenti|C|0|1||fino a 3 mesi||DD|||Datori di lavoro e dirigenti|1032,914|258,228||||||258||||03/12/2013 16:29|
