CODE|NAME
016774|CALCIO IONIZZATO (San Camillo)
017007|ALFA SUBUNITA' ORMONI GLIPROTEICI IPOFISARI
017020|ELASTASI FECALE
017021|INIBINA A
017024|MICOFENOLATO MOFETIL
017025|ANTICORPI ANTI GAD
017030|ANTICORPI ANTI MEMBRANA BASALE GLOMERULARE (GMB)
017035|PAPP-A
017041|TITOLO ANTISTAFILOLISINICO
017101|SOMMINISTRAZIONE DI VACCINI IN AMBIENTE PROTETTO
017102|TEST DI PROVOCAZIONE ORALE PER ALLERGIA ALIMENTARE
017329|CONCENTRATO PIASTRINICO PER USO NON TRASFUSIONALE OTTENUTO DA SANGUE INTERO-AUTOLOGO
017330|CONCENTRATO PUIASTRINICO PER USO NON TRASFUSIONALE OTTENUTO DA PRELIEVO VENOSO PERIFERICO MEDIANTE DISPOSITIVO MEDICO DE
017331|ALLESTIMENTO GEL PIASTRINICO (ESCLUSO UTILI<ZZ<O DI BATROXOBINA)
017332|COLLIRIO DA SIERO AUTOLOGO
02.93.1|CONTROLLO/PROGRAMMAZIONE DI NEUROSTIMOLATORE ENCEFALICO. Non associabile a visita neurologica di controllo 89.01.C
03.8|INIEZIONE DI FARMACI CITOTOSSICI NEL CANALE VERTEBRALE. Iniezione endorachide di antiblastici
03.91|INIEZIONE DI ANESTETICO NEL CANALE VERTEBRALE PER ANALGESIA. Iniezione peridurale Escluso: il caso in cui l' anestesia s
03.92|INIEZIONE DI ALTRI FARMACI NEL CANALE VERTEBRALE. Iniezione intratecale [endorachide] di steroidi Escluso: Iniezione di 
03.93.1|CONTROLLO/PROGRAMMAZIONE DI NEUROSTIMOLATORE SPINALE.
04.07.1|RESEZIONE O ASPORTAZIONE DEI NERVI PERIFERICI. Curettage, sbrigliamento, resezione di nervo periferico (o di relativa le
04.11.1|BIOPSIA [PERCUTANEA][AGOBIOPSIA] DEI NERVI PERIFERICI.
04.43|LIBERAZIONE DEL TUNNEL CARPALE. Incluso: Visita anestesiologica ed anestesia, esami pre intervento, intervento, medicazi
04.44|LIBERAZIONE DEL TUNNEL TARSALE. Incluso: visita anestesiologica ed anestesia, esami pre intervento, intervento, medicazi
04.49|LIBERAZIONE DEL TUNNEL CUBITALE, SCIATICO POPLITEO ESTERNO (SPE) AL CAPITELLO PERONEALE. Incluso: visita anestesiologica
04.81.1|INIEZIONE DI ANESTETICO IN NERVO PERIFERICO PER ANALGESIA. Blocco del Ganglio di Gasser e dei suoi rami Escluso: le anes
04.81.2|INIEZIONE DI ANESTETICO IN NERVO PERIFERICO PER ANALGESIA. Blocco degli intercostali e di altre vie nervose, infiltrazio
04.99.1|IMPIANTO DI ELETTRODI PER TEST DI ANALGESIA DA ELETTROSTIMOLAZIONE PERCUTANEA.
05.31|INIEZIONE DI ANESTETICO NEI NERVI SIMPATICI PER ANALGESIA. Blocco simpatico regionale arto superiore o inferiore Blocco 
05.32|INIEZIONE DI AGENTI NEUROLITICI NEI NERVI SIMPATICI.
06.01|AGOASPIRAZIONE ECOGUIDATA NELLA REGIONE TIROIDEA.
06.01.1|AGOASPIRAZIONE NELLA REGIONE TIROIDEA.
06.11.1|BIOPSIA [PERCUTANEA] [AGOBIOPSIA] DELLA TIROIDE. Biopsia di materiale agoaspirato della tiroide
06.11.2|BIOPSIA ECOGUIDATA DELLA TIROIDE.
06.13|BIOPSIA DELLE PARATIROIDI
06.98.1|ALCOLIZZAZIONE ECOGUIDATA DEI NODULI TIROIDEI.
