#CODEVALUEMODEL=CodeValuePhi|CODESYSTEMID=phidic|CODESYSTEMNAME=PHIDIC|CODESYSTEMDISPLAYNAME=PHI DICTIONARY|VERSION=0|DESCRIPTION=Main CodeSystem|LANGUAGE=it|AUTHORITYNAME=Insiel Mercato SpA|AUTHORITYDESCRIPTION=Insiel Mercato SpA|AUTHORITYCONTACTINFORMATION=info@insielmercato.it
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|KEYWORDS|EXTENSION[Abbreviation]|EXTENSION[Enable annotation]|EXTENSION[Score]|TRANSLATION[de]|TRANSLATION[en]|TRANSLATION[it]|RELATION[CodeValueCity]|RELATION[CodeValueIcd9]|RELATION[CodeValuePhi]|VALID FROM|VALID TO
spisal.report.type_V0|reportType|ReportType|Report type|S|0|1|||||||||||04/11/2016 14:15|
spisal.report.type.administrativeIllicit|administrativeIllicit|administrativeIllicit||C|0|1||||||Administrative Illicit|Illecito amministrativo||||07/03/2017 00:00|
spisal.report.type.asbestos|asbestos|asbestos||C|0|1||||||Asbestos|Amianto||||06/03/2017 00:00|
spisal.report.type.assignment_V0|ASSIGNMENT|assignment|assignment|C|0|1||||||Assignment|Assegnazione||||03/08/2017 00:00|
spisal.report.type.dispositions|dispositions|dispositions||C|0|1||||||Dispositions|Disposizioni||||07/03/2017 00:00|
spisal.report.type.elementaractivity_V0|ELEMENTARACTIVITY|ElementarActivity|Elementar activity|C|0|1||||||Elementar activity|Attività elementare||||04/11/2016 14:29|
spisal.report.type.generic_V0|GENERIC|Generic|Generic|C|0|1||||||Generic|Generico||||04/11/2016 00:00|
spisal.report.type.headerfooter_V0|HEADERFOOTER|HeaderFooter|Header Footer|C|0|1||||||Header Footer|Header Footer||||27/01/2017 00:00|
spisal.report.type.measure_V0|MEASURE|Measure|Measure|C|0|1||||||Measure|Provvedimento||||04/11/2016 00:00|01/08/2017 00:00
spisal.report.type.motherWorker|motherWorker|motherWorker||C|0|1||||||Mother worker|Lavoratrici madri||||08/03/2017 00:00|
spisal.report.type.procedure758|procedure758|procedure758||C|0|1||||||Procedure 758|Procedura 758||||08/03/2017 00:00|
spisal.report.type.suitabilityRecourse|suitabilityRecourse|suitabilityRecourse||C|0|1||||||Suitability recourse|Ricorso idoneità||||08/03/2017 00:00|01/08/2017 00:00
spisal.report.type.suspension_V0|suspension|suspension||C|0|1|||||||Sospensioni||||05/10/2022 10:34|
spisal.report.type.technicalAdvice|technicalAdvice|technicalAdvice||C|0|1||||||Technical advice|Espressione pareri tecnici formalizzati||||08/03/2017 00:00|
spisal.report.type.workaccident_V0|WORKACCIDENT|Workaccident|Work accident|C|0|1||||||Work accident|Infortunio sul lavoro||||04/11/2016 14:19|
spisal.report.type.workdisease_V0|WORKDISEASE|Workdisease|Work disease|C|0|1||||||Occupational disease|Malattie professionali||||04/11/2016 14:17|
spisal.report.type.workmedicine_V0|WORKMEDICINE|Workmedicine||C|0|1||||||work medicine|Medicina del lavoro||||04/09/2017 14:58|
