#CODEVALUEMODEL=CodeValuePhi|CODESYSTEMID=phidic|CODESYSTEMNAME=PHIDIC|CODESYSTEMDISPLAYNAME=PHI DICTIONARY|VERSION=0|DESCRIPTION=Main CodeSystem|LANGUAGE=it|AUTHORITYNAME=Insiel Mercato SpA|AUTHORITYDESCRIPTION=Insiel Mercato SpA|AUTHORITYCONTACTINFORMATION=info@insielmercato.it|||||||||
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|KEYWORDS|EXTENSION[Abbreviation]|EXTENSION[Enable annotation]|EXTENSION[Score]|TRANSLATION[de]|TRANSLATION[en]|TRANSLATION[it]|RELATION[CodeValueCity]|RELATION[CodeValueIcd9]|RELATION[CodeValuePhi]|VALID FROM|VALID TO
spisal.esposti.sostanze.ncas_V0|NCAS|NCAS||S|0|1|||||||N. CAS||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.001_V0|100-00-5|100-00-5|1-cloro-4-nitrobenzene|C|0|1|||||||1-cloro-4-nitrobenzene||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.002_V0|10039-54-0|10039-54-0|Solfato di bis(idrossilammonio); Idrossilammina solfato(1:2)|C|0|1|||||||Solfato di bis(idrossilammonio)||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.003_V0|100-41-4|100-41-4|etilbenzene|C|0|1|||||||etilbenzene||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.004_V0|100-42-5|100-42-5|Stirene|C|0|1|||||||Stirene||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.005_V0|10043-35-3|10043-35-3|Acido borico|C|0|1|||||||Acido borico||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.006_V0|100-44-7|100-44-7|α-clorotoluene; cloruro di benzile|C|0|1|||||||Α-clorotoluene;||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.007_V0|100-63-0|100-63-0|fenilidrazina; cloruro di fenilidrazina; cloridrato di fenilidrazina; solfato di fenilidrazina (2:1).|C|0|1|||||||fenilidrazina; cloruro di fenilidrazina; cloridrato di fenilidrazina||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.008_V0|100684-33-1|100684-33-1|Petrolato (petrolio), trattato con argilla; Combinazione complessa di idrocarburi ottenuta per trattamento di petrolato con terra sbiancante per eliminare costituenti polari in tracce ed impurezze. E' costituita prevalentemente da idrocarburi con numero d|C|0|1|||||||Petrolato (petrolio), trattato con argilla||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.009_V0|100-97-0|100-97-0|Metenamina.|C|0|1|||||||Metenamina.||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.010_V0|10124-43-3|10124-43-3|Solfato di cobalto.|C|0|1|||||||Solfato di cobalto.||||01/01/2007 00:00|
spisal.esposti.sostanze.ncas.011_V0|101316-45-4|101316-45-4|Olii di assorbimento, frazione idrocarburica aromatica biciclica ed eterocilica; Combinazione complessa di idrocarburi ottenuta come ridistillato dalla distillazione di olio di lavaggio. E costituita prevalentemente da idrocarburi aromatici a due anelli e|C|0|1|||||||Olii di assorbimento, frazione idrocarburica aromatica biciclica ed eterocilica||||01/01/2007 00:00|
