#CODEVALUEMODEL=CodeValuePhi|CODESYSTEMID=phidic|CODESYSTEMNAME=PHIDIC|CODESYSTEMDISPLAYNAME=PHI DICTIONARY|VERSION=0|DESCRIPTION=Main CodeSystem|LANGUAGE=it|AUTHORITYNAME=Insiel Mercato SpA|AUTHORITYDESCRIPTION=Insiel Mercato SpA|AUTHORITYCONTACTINFORMATION=info@insielmercato.it
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|KEYWORDS|EXTENSION[Abbreviation]|EXTENSION[Enable annotation]|EXTENSION[Score]|TRANSLATION[de]|TRANSLATION[en]|TRANSLATION[it]|RELATION[CodeValueCity]|RELATION[CodeValueIcd9]|RELATION[CodeValuePhi]|VALID FROM|VALID TO
spisal.segnalazioni.workdisease_V0|WorkDisease|WorkDisease||S|0|1|||||||Malattie Professionali||||27/07/2016 12:09|
spisal.segnalazioni.workdisease.lm_V0|lm|LuogoMorte||S|0|1|||||||Luogo morte||||27/07/2016 14:15|
spisal.segnalazioni.workdisease.lm.1_V0|1|1||C|0|1|||||||Ospedale||||27/07/2016 14:15|
spisal.segnalazioni.workdisease.lm.2_V0|2|2||C|0|1|||||||Luogo di lavoro||||27/07/2016 14:15|
spisal.segnalazioni.workdisease.lm.3_V0|3|3||C|0|1|||||||Altro||||27/07/2016 14:15|
spisal.segnalazioni.workdisease.ricinail_V0|ricinail|RicInail||S|0|1|||||||Riconoscimento Inail||||27/07/2016 14:12|
spisal.segnalazioni.workdisease.ricinail.1_V0|No|No||C|0|1|||||||No||||27/07/2016 14:14|
spisal.segnalazioni.workdisease.ricinail.2_V0|InCorso|InCorso||C|0|1|||||||In corso||||27/07/2016 14:13|
spisal.segnalazioni.workdisease.ricinail.3_V0|NonNoto|NonNoto||C|0|1|||||||Non noto||||27/07/2016 14:13|
spisal.segnalazioni.workdisease.ricinail.4_V0|Si|Si||C|0|1|||||||Sì||||27/07/2016 14:13|
spisal.segnalazioni.workdisease.wdgrav_V0|wdgrav|WDGravita||S|0|1|||||||Gravità||||23/08/2016 16:57|
spisal.segnalazioni.workdisease.wdgrav.09_V0|GRAVITAMAL_RE09|GRAVITAMAL_RE09||C|0|1|||||||NON DANNO||||23/08/2016 16:57|
spisal.segnalazioni.workdisease.wdgrav.11_V0|GRAVITAMAL_RE11|GRAVITAMAL_RE11||C|0|1|||||||RISPOSTA FISIOLOGICA REVERSIBILE; NON INDEBOLIMENTO||||23/08/2016 16:57|
spisal.segnalazioni.workdisease.wdgrav.10_V0|GRAVITAMAL_RE10|GRAVITAMAL_RE10||C|0|1|||||||RISPOSTA CRITICA SUPERIORE A VALORI LIMITE BIOLOGICI||||23/08/2016 16:57|
spisal.segnalazioni.workdisease.wdgrav.07_V0|GRAVITAMAL_RE07|GRAVITAMAL_RE07||C|0|1|||||||DISTURBI INIZIALI||||23/08/2016 16:57|
spisal.segnalazioni.workdisease.wdgrav.01_V0|GRAVITAMAL_RE01|GRAVITAMAL_RE01||C|0|1|||||||DANNO CLINICAMENTE APPREZZABILE||||23/08/2016 16:57|
spisal.segnalazioni.workdisease.wdgrav.02_V0|GRAVITAMAL_RE02|GRAVITAMAL_RE02||C|0|1|||||||DANNO EVIDENTE SENZA GRAVE INDEBOLIMENTO||||23/08/2016 16:57|
spisal.segnalazioni.workdisease.wdgrav.03_V0|GRAVITAMAL_RE03|GRAVITAMAL_RE03||C|0|1|||||||DANNO GRAVE||||23/08/2016 16:57|
spisal.segnalazioni.workdisease.wdgrav.04_V0|GRAVITAMAL_RE04|GRAVITAMAL_RE04||C|0|1|||||||DANNO GRAVISSIMO||||23/08/2016 16:57|
spisal.segnalazioni.workdisease.wdgrav.08_V0|GRAVITAMAL_RE08|GRAVITAMAL_RE08||C|0|1|||||||INVALIDITÀ TOTALE - MORTE||||23/08/2016 16:57|
spisal.segnalazioni.workdisease.wdgrav.12_V0|GRAVITAMAL_RE12|GRAVITAMAL_RE12||C|0|1|||||||RISPOSTE "ANOMALE" - ALLERGIA||||23/08/2016 16:57|
spisal.segnalazioni.workdisease.wdgrav.05_V0|GRAVITAMAL_RE05|GRAVITAMAL_RE05||C|0|1|||||||DANNO REVERSIBILE||||23/08/2016 16:57|
spisal.segnalazioni.workdisease.wdgrav.06_V0|GRAVITAMAL_RE06|GRAVITAMAL_RE06||C|0|1|||||||DANNO REVERSIBILE; MALATTIA > 40 GG||||23/08/2016 16:57|
