#CODESYSTEMID=2.16.840.1.113883.6.8|CODESYSTEMNAME=UCUM|CODESYSTEMDISPLAYNAME=UCUM|VERSION=1|DESCRIPTION=The Unified Code for Units of Measure|LANGUAGE=en|AUTHORITYNAME=Regenstrief Institute, Inc. and The UCUM  Organization|AUTHORITYDESCRIPTION=The Organization|AUTHORITYCONTACTINFORMATION=http://unitsofmeasure.org/|VALIDFROM=08/07/2010 10:38
ID SUFFIX|CODE|NAME|DESCRIPTION|ELEMENT TYPE|SEQUENCE NUMBER|STATUS|DIM|VALUE.UNIT [CASE INSENSITIVE]|VALUE.UNIT [CASE SENSITIVE]|VALUE.VALUE|CODE EQUIVALENT [T]|CODE EQUIVALENT [S]|VALID FROM|VALID TO
1_V1|-|Prefix|Prefix|T|0|1|||||||08/07/2010 10:38|
1.10_V1|DA|da|deka|C|0|1||||1e1|||08/07/2010 10:38|
1.11_V1|D|d|deci|C|0|1||||1e-1|||08/07/2010 10:38|
1.12_V1|C|c|centi|C|0|1||||1e-2|||08/07/2010 10:38|
1.13_V1|M|m|milli|C|0|1||||1e-3|||08/07/2010 10:38|
1.14_V1|U|u|micro|C|0|1||||1e-6|||08/07/2010 10:38|
1.15_V1|N|n|nano|C|0|1||||1e-9|||08/07/2010 10:38|
1.16_V1|P|p|pico|C|0|1||||1e-12|||08/07/2010 10:38|
1.17_V1|F|f|femto|C|0|1||||1e-15|||08/07/2010 10:38|
1.18_V1|A|a|atto|C|0|1||||1e-18|||08/07/2010 10:38|
1.19_V1|ZO|z|zepto|C|0|1||||1e-21|||08/07/2010 10:38|
1.1_V1|YA|Y|yotta|C|0|1||||1e24|||08/07/2010 10:38|
1.20_V1|YO|y|yocto|C|0|1||||1e-24|||08/07/2010 10:38|
1.21_V1|KIB|Ki|kibi|C|0|1||||1024|||08/07/2010 10:38|
1.22_V1|MIB|Mi|mebi|C|0|1||||1048576|||08/07/2010 10:38|
1.23_V1|GIB|Gi|gibi|C|0|1||||1073741824|||08/07/2010 10:38|
1.24_V1|TIB|Ti|tebi|C|0|1||||1099511627776|||08/07/2010 10:38|
1.2_V1|ZA|Z|zetta|C|0|1||||1e21|||08/07/2010 10:38|
1.3_V1|EX|E|exa|C|0|1||||1e18|||08/07/2010 10:38|
1.4_V1|PT|P|peta|C|0|1||||1e15|||08/07/2010 10:38|
1.5_V1|TR|T|tera|C|0|1||||1e12|||08/07/2010 10:38|
1.6_V1|GA|G|giga|C|0|1||||1e9|||08/07/2010 10:38|
1.7_V1|MA|M|mega|C|0|1||||1e6|||08/07/2010 10:38|
1.8_V1|K|k|kilo|C|0|1||||1e3|||08/07/2010 10:38|
1.9_V1|H|h|hecto|C|0|1||||1e2|||08/07/2010 10:38|
25_V1|-|UnitsOfMeasure|UnitsOfMeasure|T|0|1|||||||08/07/2010 10:38|
25.103_V1|-|dynamic viscosity|dynamic viscosity|A|0|1|||||||08/07/2010 10:38|
25.103.103_V1|P|P|Poise|C|0|1||DYN.S/CM2|dyn.s/cm2|1|||08/07/2010 10:38|
25.105_V1|-|kinematic viscosity|kinematic viscosity|A|0|1|||||||08/07/2010 10:38|
25.105.105_V1|ST|St|Stokes|C|0|1||CM2/S|cm2/s|1|||08/07/2010 10:38|
25.106_V1|-|flux of magnetic induction|flux of magnetic induction|A|0|1|||||||08/07/2010 10:38|
25.106.106_V1|MX|Mx|Maxwell|C|0|1||WB|Wb|1e-8|||08/07/2010 10:38|
25.108_V1|-|magnetic field intensity|magnetic field intensity|A|0|1|||||||08/07/2010 10:38|
25.108.108_V1|OE|Oe|Oersted|C|0|1||/[PI].A/M|/[pi].A/m|250|||08/07/2010 10:38|
25.109_V1|-|magnetic tension|magnetic tension|A|0|1|||||||08/07/2010 10:38|
25.109.109_V1|GB|Gb|Gilbert|C|0|1||OE.CM|Oe.cm|1|||08/07/2010 10:38|
